Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,434,0,0,0
fonds_commercial,0,0,0,0,61000,61000,61000,61000
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,12489,12683,0,0
autres_immobilisations_corporelles,0,0,0,0,265,392,0,0
autres_participations,0,0,0,0,950,950,935,935
autres_immobilisations_financieres,0,0,0,0,4469,4469,4274,2274
total_i__immobilisations,0,0,0,0,79607,79494,66209,64209
marchandises,0,0,0,0,97985,187125,374237,348549
clients_et_comptes_rattaches,0,0,0,0,74090,68103,108784,128753
autres_creances,0,0,0,0,4081,10015,7096,2644
disponibilites,0,0,0,0,4945,362,1232,4551
charges_constatees_davance,0,0,0,0,119,439,489,475
total_ii__actif_circulant,0,0,0,0,181219,266044,491838,484972
total_general__actif,0,0,0,0,260827,345538,558046,549181
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,50000,50000,50000,50000
reserve_legale,0,0,0,0,5000,5000,5000,5000
autres_reserves,0,0,0,0,134620,134620,132987,129835
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,-70636,-157692,1633,3152
total_i__capital_social,0,0,0,0,-38708,31928,189620,187987
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,158264,216356,267937,207135
emprunts_et_dettes_financieres_divers,0,0,0,0,92647,911,911,911
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,47267,92827,94882,139827
dettes_fiscales_et_sociales,0,0,0,0,1356,3516,4697,13321
total_iv__dettes,0,0,0,0,299535,313611,368426,361195
total_general__passif,0,0,0,0,260827,345538,558046,549181
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,237908,224245,242965,338180
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,58040,55773,79964,99754
report_a_nouveau,0,0,0,0,-157692,0,0,0
