Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,1146,1798,0,0,1321,1650,2253
total_i__immobilisations,0,1146,1798,0,0,1321,1650,2253
matieres_premieres_approvisionnements,0,0,0,0,0,0,0,1200
marchandises,0,13170,13450,0,0,91871,89225,90459
clients_et_comptes_rattaches,0,271810,501763,0,0,280271,270929,370337
autres_creances,0,23525,994,0,0,4228,13146,4376
disponibilites,0,87501,36748,0,0,43267,4446,44216
charges_constatees_davance,0,0,0,0,0,364,337,312
total_ii__actif_circulant,0,396007,552957,0,0,420003,378083,510900
total_general__actif,0,397154,554756,0,0,421325,379734,513154
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,7622,7622,0,0,7622,7622,7622
reserve_legale,0,762,762,0,0,762,762,762
autres_reserves,0,129548,178282,0,0,165240,217273,174623
resultat_de_lexercice_benefice_ou_perte,0,4872,-50233,0,0,13042,-52033,42650
total_i__capital_social,0,142805,137932,0,0,186667,173625,225658
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,43005,50125,0,0,135,104,452
dettes_fournisseurs_et_comptes_rattaches,0,148148,324448,0,0,220094,182503,258113
dettes_fiscales_et_sociales,0,63195,42249,0,0,14212,23502,28931
total_iv__dettes,0,254349,416823,0,0,234658,206109,287496
total_general__passif,0,397154,554756,0,0,421325,379734,513154
dettes_et_produits_constates_davance_a_moins_dun_an,0,223890,373917,0,0,234658,206109,287496
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,99,0,0,0,135,0,0
autres_dettes,0,0,0,0,0,215,0,0
report_a_nouveau,0,0,1499,0,0,0,0,0
