Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,925192,818382,1018593
production_vendue_services,0,0,0,0,0,5274,6795,5390
chiffres_daffaires_nets,0,0,0,0,0,930467,825177,1023983
subventions_dexploitation,0,0,0,0,0,0,686,3168
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,16512,59756,33215
autres_produits,0,0,0,0,0,9,4,2
total_des_produits_dexploitation_i,0,0,0,0,0,946988,885623,1060369
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,790904,739360,790176
variation_de_stock_marchandises,0,0,0,0,0,12316,44378,-1825
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,0,1200,3663
autres_achats_et_charges_externes,0,0,0,0,0,76718,76570,95500
impots_taxes_et_versements_assimiles,0,0,0,0,0,3548,3846,4085
salaires_et_traitements,0,0,0,0,0,35396,42091,41711
charges_sociales,0,0,0,0,0,10972,11113,11277
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,328,603,597
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,1549,16512,59656
autres_charges,0,0,0,0,0,17,30,2
total_des_charges_dexploitation_ii,0,0,0,0,0,932655,935704,1004842
_resultat_dexploitation_i__ii,0,0,0,0,0,14333,-50081,55526
interets_et_charges_assimilees,0,0,0,0,0,1291,1951,3280
total_des_charges_financieres_vi,0,0,0,0,0,1291,1951,3280
_resultat_financier_v__vi,0,0,0,0,0,-1291,-1951,-3280
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,13042,-52033,52246
impots_sur_les_benefices,0,0,0,0,0,0,0,9596
total_des_produits_i__iii__v__vii,0,0,0,0,0,946988,885623,1060369
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,933946,937655,1017718
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,13042,-52033,42650
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,904,0,0
