Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,564,0
fonds_commercial,0,0,0,205561,0,205561,414591,0
constructions,0,0,0,27387,0,28482,29030,0
autres_immobilisations_corporelles,0,0,0,2933,0,3512,29818,0
autres_immobilisations_financieres,0,0,0,33606,0,32128,41072,0
total_i__immobilisations,0,0,0,269488,0,269686,515077,0
marchandises,0,0,0,170081,0,184116,178957,0
avances_et_acomptes_verses_sur_commandes,0,0,0,53000,0,138070,159000,0
clients_et_comptes_rattaches,0,0,0,209934,0,261298,302510,0
autres_creances,0,0,0,174152,0,156933,232731,0
valeurs_mobilieres_de_placement,0,0,0,43,0,43,43,0
disponibilites,0,0,0,219917,0,319089,194314,0
charges_constatees_davance,0,0,0,565,0,2652,1118,0
total_ii__actif_circulant,0,0,0,827693,0,1062202,1068675,0
total_general__actif,0,0,0,1097181,0,1331888,1583753,0
capital_social_ou_individuel,0,0,0,16000,0,16000,16000,0
reserve_legale,0,0,0,1600,0,1600,1600,0
autres_reserves,0,0,0,95244,0,95244,87680,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,-123542,0,-50724,7564,0
total_i__capital_social,0,0,0,-75759,0,62119,112844,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,1155773,0,1254738,1410387,0
dettes_fiscales_et_sociales,0,0,0,17167,0,15031,56703,0
total_iv__dettes,0,0,0,1172941,0,1269769,1470908,0
total_general__passif,0,0,0,1097181,0,1331888,1583753,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,1172941,0,1269769,1470908,0
report_a_nouveau,0,0,0,-65061,0,0,0,0
autres_dettes,0,0,0,0,0,0,3818,0
