Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,247079,0,494784,672365,0
production_vendue_services,0,0,0,289,0,22,0,0
chiffres_daffaires_nets,0,0,0,247368,0,494806,672365,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,608,0,3649,11144,0
autres_produits,0,0,0,106,0,2,18,0
total_des_produits_dexploitation_i,0,0,0,248082,0,498458,683528,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,72580,0,200168,287238,0
variation_de_stock_marchandises,0,0,0,31090,0,-5158,26762,0
autres_achats_et_charges_externes,0,0,0,132345,0,158304,211476,0
impots_taxes_et_versements_assimiles,0,0,0,2040,0,7354,8496,0
salaires_et_traitements,0,0,0,106488,0,144126,198707,0
charges_sociales,0,0,0,34602,0,49039,64883,0
dot_dexploit__dotations_aux_amortissements,0,0,0,2266,0,8533,17150,0
autres_charges,0,0,0,3,0,3538,14875,0
total_des_charges_dexploitation_ii,0,0,0,381416,0,565906,829590,0
_resultat_dexploitation_i__ii,0,0,0,-133333,0,-67448,-146062,0
differences_negatives_de_change,0,0,0,0,0,73,0,0
total_des_charges_financieres_vi,0,0,0,0,0,73,0,0
_resultat_financier_v__vi,0,0,0,0,0,-72,155224,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,-133333,0,-67520,9162,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,375,0,1230,145,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,10000,0,250000,0,0
total_des_produits_exceptionnels_vii,0,0,0,10375,0,251230,145,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,584,0,5278,267,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,229156,0,0
total_des_charges_exceptionnelles_viii,0,0,0,584,0,234434,267,0
_resultat_exceptionnel_vii__viii,0,0,0,9791,0,16795,-121,0
total_des_produits_i__iii__v__vii,0,0,0,258458,0,749689,838898,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,382000,0,800414,831334,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,-123542,0,-50724,7564,0
autres_interets_et_produits_assimiles,0,0,0,0,0,0,155224,0
total_des_produits_financiers_v,0,0,0,0,0,0,155224,0
impots_sur_les_benefices,0,0,0,0,0,0,1477,0
