Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,0,0,0,0,0,0,151070
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,108324
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,9307
autres_titres_immobilises,0,0,0,0,0,0,0,20359
autres_immobilisations_financieres,0,0,0,0,0,0,0,1713
total_i__immobilisations,0,0,0,0,0,0,0,290772
marchandises,0,0,0,0,0,0,0,651126
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,2000
clients_et_comptes_rattaches,0,0,0,0,0,0,0,11607
autres_creances,0,0,0,0,0,0,0,41038
disponibilites,0,0,0,0,0,0,0,237142
charges_constatees_davance,0,0,0,0,0,0,0,2439
total_ii__actif_circulant,0,0,0,0,0,0,0,945351
total_general__actif,0,0,0,0,0,0,0,1236124
capital_social_ou_individuel,0,0,0,0,0,0,0,8000
reserve_legale,0,0,0,0,0,0,0,800
autres_reserves,0,0,0,0,0,0,0,315351
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,24557
total_i__capital_social,0,0,0,0,0,0,0,348709
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,300
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,678345
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,13570
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,142866
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,41444
autres_dettes,0,0,0,0,0,0,0,10890
total_iv__dettes,0,0,0,0,0,0,0,887415
total_general__passif,0,0,0,0,0,0,0,1236124
