Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,926629
production_vendue_services,0,0,0,0,0,0,0,6577
chiffres_daffaires_nets,0,0,0,0,0,0,0,933205
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,9227
autres_produits,0,0,0,0,0,0,0,1
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,942433
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,633014
variation_de_stock_marchandises,0,0,0,0,0,0,0,-19639
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,1920
autres_achats_et_charges_externes,0,0,0,0,0,0,0,72858
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,14411
salaires_et_traitements,0,0,0,0,0,0,0,126216
charges_sociales,0,0,0,0,0,0,0,64471
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,17549
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,2665
autres_charges,0,0,0,0,0,0,0,171
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,913637
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,28796
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,275
total_des_produits_financiers_v,0,0,0,0,0,0,0,275
interets_et_charges_assimilees,0,0,0,0,0,0,0,849
differences_negatives_de_change,0,0,0,0,0,0,0,25
total_des_charges_financieres_vi,0,0,0,0,0,0,0,874
_resultat_financier_v__vi,0,0,0,0,0,0,0,-598
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,28198
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,145
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,145
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,21
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,21
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,124
impots_sur_les_benefices,0,0,0,0,0,0,0,3764
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,942853
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,918296
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,24557
