Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,177,0
fonds_commercial,0,0,0,0,0,0,349000,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,2164,0
autres_immobilisations_corporelles,0,0,0,0,0,0,48695,0
autres_participations,0,0,0,0,0,0,207766,0
creances_rattachees_a_des_participations,0,0,0,0,0,0,-37409,0
autres_immobilisations_financieres,0,0,0,0,0,0,22001,0
total_i__immobilisations,0,0,0,0,0,0,592394,0
marchandises,0,0,0,0,0,0,147103,0
clients_et_comptes_rattaches,0,0,0,0,0,0,41501,0
autres_creances,0,0,0,0,0,0,10282,0
disponibilites,0,0,0,0,0,0,1959,0
charges_constatees_davance,0,0,0,0,0,0,501,0
total_ii__actif_circulant,0,0,0,0,0,0,201346,0
total_general__actif,0,0,0,0,0,0,793740,0
capital_social_ou_individuel,0,0,0,0,0,0,8000,0
reserve_legale,0,0,0,0,0,0,800,0
report_a_nouveau,0,0,0,0,0,0,312143,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,-57898,0
provisions_reglementees,0,0,0,0,0,0,2330,0
total_i__capital_social,0,0,0,0,0,0,265375,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,241591,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,43149,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,210255,0
dettes_fiscales_et_sociales,0,0,0,0,0,0,33369,0
total_iv__dettes,0,0,0,0,0,0,528364,0
total_general__passif,0,0,0,0,0,0,793740,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,385492,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,48924,0
