Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,812728,0
production_vendue_biens,0,0,0,0,0,0,0,0
production_vendue_services,0,0,0,0,0,0,25591,0
chiffres_daffaires_nets,0,0,0,0,0,0,838318,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,0
autres_produits,0,0,0,0,0,0,2028,0
total_des_produits_dexploitation_i,0,0,0,0,0,0,840346,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,283156,0
variation_de_stock_marchandises,0,0,0,0,0,0,26684,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,34091,0
autres_achats_et_charges_externes,0,0,0,0,0,0,254187,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,6239,0
salaires_et_traitements,0,0,0,0,0,0,170991,0
charges_sociales,0,0,0,0,0,0,55805,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,19635,0
autres_charges,0,0,0,0,0,0,544,0
total_des_charges_dexploitation_ii,0,0,0,0,0,0,851333,0
_resultat_dexploitation_i__ii,0,0,0,0,0,0,-10986,0
autres_interets_et_produits_assimiles,0,0,0,0,0,0,610,0
differences_positives_de_change,0,0,0,0,0,0,347,0
total_des_produits_financiers_v,0,0,0,0,0,0,957,0
interets_et_charges_assimilees,0,0,0,0,0,0,29304,0
differences_negatives_de_change,0,0,0,0,0,0,363,0
total_des_charges_financieres_vi,0,0,0,0,0,0,29667,0
_resultat_financier_v__vi,0,0,0,0,0,0,-28710,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,-39697,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,1660,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,1660,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,7548,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,5926,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,6387,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,19861,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,-18201,0
impots_sur_les_benefices,0,0,0,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,842963,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,900861,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,-57898,0
