Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,440,440,474,927,0,5055,0,0
fonds_commercial,283395,283395,279845,279845,0,0,0,0
autres_immobilisations_corporelles,17001,19528,29481,47470,0,65021,0,0
autres_participations,0,0,0,10000,0,10000,0,0
autres_immobilisations_financieres,5750,18800,28686,28686,0,10050,0,0
total_i__immobilisations,306586,322163,338487,366929,0,90126,0,0
marchandises,864356,935063,1183351,1226198,0,1924899,0,0
avances_et_acomptes_verses_sur_commandes,0,0,292,2170,0,0,0,0
clients_et_comptes_rattaches,1251509,1820648,3562813,2607092,0,2559947,0,0
autres_creances,156628,421908,540782,880307,0,866190,0,0
disponibilites,477219,3691170,3783535,2742505,0,2440558,0,0
charges_constatees_davance,29636,57726,28944,39315,0,35752,0,0
total_ii__actif_circulant,2779350,6926518,9099720,7497590,0,7827348,0,0
total_general__actif,3085937,7248681,9438207,7864519,0,7917475,0,0
capital_social_ou_individuel,159459,159459,159459,159459,0,138000,0,0
primes_demission_de_fusion_dapport,271540,432556,432556,432556,0,0,0,0
reserve_legale,15945,15945,15945,15945,0,13800,0,0
autres_reserves,714170,2280380,2280180,2204244,0,2992440,0,0
report_a_nouveau,0,817813,817813,817813,0,817813,0,0
resultat_de_lexercice_benefice_ou_perte,343531,714170,166592,675935,0,974365,0,0
total_i__capital_social,1504647,4420325,3872547,4305955,0,4936419,0,0
emprunts_et_dettes_financieres_divers,0,0,0,5385,0,5385,0,0
dettes_fournisseurs_et_comptes_rattaches,984444,1701796,2001955,2569545,0,2072707,0,0
dettes_fiscales_et_sociales,264093,957268,917488,546395,0,459500,0,0
autres_dettes,332752,169290,797216,437238,0,442260,0,0
total_iv__dettes,1581289,2828356,5516660,3558564,0,2981055,0,0
total_general__passif,3085937,7248681,9438207,7864519,0,7917475,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,1581289,2828356,5516660,3558564,0,2981055,0,0
emprunts_participatifs,0,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,1800000,0,0,1201,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,1201,0,0
provisions_pour_risques,0,0,49000,0,0,0,0,0
total_iii__provisions,0,0,49000,0,0,0,0,0
