Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,9032124,10927254,7598154,13223047,0,10907888,0,0
production_vendue_services,64229,63384,51339,206483,0,106078,0,0
chiffres_daffaires_nets,9096354,10990638,7649494,13429531,0,11013967,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,157316,682371,65002,65824,0,21318,0,0
autres_produits,464,1483,984,29,0,0,0,0
total_des_produits_dexploitation_i,9258134,11681827,7715481,13495385,0,11035285,0,0
achats_de_marchandises_y_compris_droits_de_douane,5440782,6209220,4915295,7146882,0,5560431,0,0
variation_de_stock_marchandises,172557,219242,-13626,1373504,0,1174097,0,0
autres_achats_et_charges_externes,1555209,2143673,1259312,1711991,0,1350227,0,0
impots_taxes_et_versements_assimiles,33095,43473,33168,66521,0,54624,0,0
salaires_et_traitements,1058365,1071939,866016,1407614,0,901487,0,0
charges_sociales,456743,450349,346287,597724,0,408843,0,0
dot_dexploit__dotations_aux_amortissements,4960,9987,21606,54040,0,43957,0,0
autres_charges,4607,282784,3189,12735,0,5339,0,0
total_des_charges_dexploitation_ii,8726322,10776453,7536722,12371015,0,9541722,0,0
_resultat_dexploitation_i__ii,531812,905373,178758,1124369,0,1493563,0,0
autres_interets_et_produits_assimiles,0,35,1,10816,0,5605,0,0
differences_positives_de_change,0,83,0,978,0,4663,0,0
total_des_produits_financiers_v,0,118,28878,11795,0,10268,0,0
interets_et_charges_assimilees,56712,72971,48128,97884,0,84794,0,0
differences_negatives_de_change,1883,730,65,2683,0,13547,0,0
total_des_charges_financieres_vi,58596,73702,48194,100568,0,98342,0,0
_resultat_financier_v__vi,-58596,-73583,-19316,-88773,0,-88073,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,473215,831790,159442,1035596,0,1405489,0,0
produits_exceptionnels_sur_operations_de_gestion,4590,144176,67428,11533,0,219,0,0
total_des_produits_exceptionnels_vii,4590,144176,67428,11533,0,219,0,0
charges_exceptionnelles_sur_operations_de_gestion,16780,20214,2023,52170,0,2838,0,0
charges_exceptionnelles_sur_operations_en_capital,0,3736,0,46338,0,0,0,0
total_des_charges_exceptionnelles_viii,16780,23951,3876,98508,0,2838,0,0
_resultat_exceptionnel_vii__viii,-12189,120225,63551,-86975,0,-2619,0,0
impots_sur_les_benefices,117495,237846,56401,272686,0,428505,0,0
total_des_produits_i__iii__v__vii,9262725,11826123,7811787,13518714,0,11045774,0,0
total_des_charges_ii__iv__vi__viii__ix__x,8919194,11111952,7645194,12842778,0,10071408,0,0
benefice_ou_perte_total_des_produits__total_des_charges,343531,714170,166592,675935,0,974365,0,0
subventions_dexploitation,4000,7333,0,0,0,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,345782,56473,0,0,34006,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,8706,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,49000,0,0,0,0,0
produits_des_autres_valeurs_mobilieres_et_creances_de_lactif_immobilise,0,0,28876,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,1853,0,0,0,0,0
