Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,604,909,0,0,42,194,0,0
total_actif_immobilise,604,909,0,0,42,194,0,0
stock_marchandises,224153,204383,226526,183738,178525,176678,0,0
creances__clients_et_comptes_rattaches,77882,68628,44266,30087,43256,33968,0,0
creances__autres,7834,9369,8646,7037,6607,1879,0,0
disponibilites,9680,27027,10156,22025,11099,15251,0,0
charges_constatees_davance,0,2047,0,2005,0,2029,0,0
total_actif_circulant__charges_constatees_davance,319549,311454,289594,244892,239488,229804,0,0
total_general_actif,320153,312363,289595,244893,239530,229998,0,0
capital_social_ou_individuel,8000,8000,8000,8000,8000,8000,0,0
reserve_legale,800,800,800,800,800,800,0,0
report_a_nouveau,226505,224611,196182,180733,194629,205984,0,0
resultat_de_lexercice,13939,13974,40510,15449,-13896,-11355,0,0
total_des_capitaux_propres__total_i,249244,247385,245491,204982,189533,203429,0,0
fournisseurs_et_comptes_rattaches,39425,28771,14295,9560,33321,22715,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,15076,36207,29808,30351,16676,3854,0,0
total_des_dettes,70909,64978,44103,39911,49997,26569,0,0
total_general_passif,320153,312363,289595,244893,239530,229998,0,0
produits_constates_davance,16408,0,0,0,0,0,0,0
