Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,276047,324561,267786,129287,114693,0,0,0
total_des_produits_dexploitation_hors_tva,276047,324561,276894,141864,114693,121883,0,0
achats_de_marchandises_y_compris_droits_de_douane,228644,217837,234797,89489,91808,79805,0,0
variation_de_stock_marchandises,-19770,22143,-42788,-5213,-1847,10338,0,0
autres_charges_externes,28764,35337,15223,13992,13025,18112,0,0
dont_taxe_professionnelle,701,667,667,646,0,646,0,0
impots_taxes_et_versements_assimiles,3660,3030,667,646,1403,646,0,0
remunerations_du_personnel,10000,20000,20000,15000,15000,15000,0,0
charges_sociales,9575,10546,8870,7978,9059,8945,0,0
dotations_aux_amortissements,306,8,0,41,152,252,0,0
total_des_charges_dexploitation,261177,308901,236769,126421,128599,133097,0,0
resultat_dexploitation,14870,15660,40125,15443,-13906,-11214,0,0
produits_financiers,0,60,0,0,0,0,0,0
charges_exceptionnelles,1,865,12,0,0,312,0,0
impots_sur_les_benefices,1602,882,-396,0,0,0,0,0
benefice_ou_perte,13939,13974,40510,15449,-13896,-11355,0,0
montant_de_la_tva_collectee,54783,64552,51825,0,0,23267,0,0
montant_de_la_tva_deductible_sur_biens_et_services,8104,11620,19940,0,0,5038,0,0
production_vendue_de_services__france,0,0,0,0,0,120756,0,0
autres_produits,0,0,0,0,0,1126,0,0
produits_exceptionnels,691,0,1,5,10,172,0,0
subventions_dexploitation_recues,0,0,9108,12577,0,0,0,0
autres_charges,0,0,0,4488,0,0,0,0
charges_financieres,19,0,0,0,0,0,0,0
