Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
constructions,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,32074,0,0,43696,0,0,0
autres_immobilisations_financieres,0,5600,0,0,5600,0,0,0
total_i__immobilisations,0,37674,0,0,49296,0,0,0
marchandises,0,551624,0,0,543866,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,120,0,0,0
clients_et_comptes_rattaches,0,687156,0,0,587336,0,0,0
autres_creances,0,33783,0,0,33234,0,0,0
disponibilites,0,654788,0,0,501655,0,0,0
charges_constatees_davance,0,3234,0,0,4131,0,0,0
total_ii__actif_circulant,0,1930586,0,0,1670341,0,0,0
total_general__actif,0,1968259,0,0,1719636,0,0,0
capital_social_ou_individuel,0,170000,0,0,170000,0,0,0
reserve_legale,0,17000,0,0,17000,0,0,0
autres_reserves,0,1159033,0,0,1058137,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,162581,0,0,56789,0,0,0
provisions_reglementees,0,34029,0,0,0,0,0,0
total_i__capital_social,0,1542644,0,0,1301927,0,0,0
provisions_pour_risques,0,8000,0,0,0,0,0,0
total_iii__provisions,0,8000,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,8693,0,0,36229,0,0,0
emprunts_et_dettes_financieres_divers,0,164279,0,0,126971,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,143755,0,0,197004,0,0,0
dettes_fiscales_et_sociales,0,76308,0,0,47393,0,0,0
autres_dettes,0,24581,0,0,10113,0,0,0
total_iv__dettes,0,417616,0,0,417710,0,0,0
total_general__passif,0,1968259,0,0,1719636,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,417616,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,1134,0,0,0,0,0,0
