Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,0,0,0,0,0,0,0,0
immobilisations_corporelles,1407,2152,0,0,0,0,0,0
total_actif_immobilise,1407,2152,0,0,0,0,0,0
stock_marchandises,36356,39820,37807,0,41684,42510,0,0
avances_et_acomptes_verses_sur_commandes,1218,2000,0,0,0,0,0,0
creances__clients_et_comptes_rattaches,10989,770,2436,0,4561,4242,0,0
creances__autres,449,133,10173,0,97,41,0,0
disponibilites,12087,29156,33613,0,8392,190,0,0
total_actif_circulant__charges_constatees_davance,61100,71880,84029,0,54736,47763,0,0
total_general_actif,62507,74033,84029,0,54736,47763,0,0
capital_social_ou_individuel,50000,8000,8000,0,8000,8000,0,0
reserve_legale,800,800,800,0,800,800,0,0
autres_reserves,4273,41704,9861,0,9861,9861,0,0
resultat_de_lexercice,-6790,5369,34936,0,2769,-898,0,0
total_des_capitaux_propres__total_i,48282,55873,50504,0,17361,14592,0,0
emprunts_et_dettes_assimilees,1677,3684,5655,0,0,1238,0,0
fournisseurs_et_comptes_rattaches,1394,1167,1141,0,1304,1054,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,11153,13307,26727,0,36070,30877,0,0
total_des_dettes,14225,18159,33525,0,37375,33170,0,0
total_general_passif,62507,74033,84029,0,54736,47763,0,0
charges_constatees_davance,0,0,0,0,0,778,0,0
report_a_nouveau,0,0,-3094,0,-4069,-3170,0,0
