Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,74402,77166,79528,0,57735,54517,0,0
production_vendue_de_services__france,5,133,140,0,168,415,0,0
total_des_produits_dexploitation_hors_tva,74408,77299,99259,0,62244,55242,0,0
achats_de_marchandises_y_compris_droits_de_douane,17937,18480,11975,0,8632,13536,0,0
variation_de_stock_marchandises,3464,-2013,1885,0,825,-635,0,0
dont_credit_bail_mobilier,81,811,0,0,0,0,0,0
autres_charges_externes,39266,33162,27757,0,30800,30739,0,0
dont_taxe_professionnelle,554,548,0,0,508,502,0,0
impots_taxes_et_versements_assimiles,2213,1560,532,0,1014,1076,0,0
remunerations_du_personnel,10444,9600,6110,0,6600,7800,0,0
charges_sociales,11361,9060,6650,0,4083,3637,0,0
dotations_aux_amortissements,745,286,0,0,0,0,0,0
autres_charges,0,1,0,0,3,1,0,0
total_des_charges_dexploitation,85431,70138,54911,0,51958,56156,0,0
resultat_dexploitation,-11023,7161,44347,0,10285,-913,0,0
charges_financieres,58,93,0,0,60,0,0,0
charges_exceptionnelles,1170,751,8078,0,7455,0,0,0
impots_sur_les_benefices,0,947,1333,0,0,0,0,0
benefice_ou_perte,-6790,5369,34936,0,2769,-898,0,0
ventes_de_marchandises__export,15812,0,0,0,6972,4646,0,0
production_vendue_de_services__export,0,0,0,0,0,10,0,0
autres_produits,0,0,0,0,4340,310,0,0
produits_financiers,0,0,0,0,0,15,0,0
montant_de_la_tva_collectee,11719,0,0,0,10186,10055,0,0
montant_de_la_tva_deductible_sur_biens_et_services,2717,0,0,0,3676,4,0,0
subventions_dexploitation_recues,0,0,19590,0,0,0,0,0
produits_exceptionnels,5462,0,0,0,0,0,0,0
