Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,463372
production_vendue_services,0,0,0,0,0,0,0,10206
chiffres_daffaires_nets,0,0,0,0,0,0,0,473579
autres_produits,0,0,0,0,0,0,0,836
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,474414
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,324761
variation_de_stock_marchandises,0,0,0,0,0,0,0,3153
autres_achats_et_charges_externes,0,0,0,0,0,0,0,73256
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,566
salaires_et_traitements,0,0,0,0,0,0,0,35159
charges_sociales,0,0,0,0,0,0,0,19706
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,10203
autres_charges,0,0,0,0,0,0,0,33
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,466837
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,7577
interets_et_charges_assimilees,0,0,0,0,0,0,0,122
total_des_charges_financieres_vi,0,0,0,0,0,0,0,122
_resultat_financier_v__vi,0,0,0,0,0,0,0,-122
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,7455
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,394
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,394
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,396
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,396
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-2
impots_sur_les_benefices,0,0,0,0,0,0,0,1076
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,474809
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,468431
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,6378
