Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,103177,142558,62812,87985,73092,0
autres_immobilisations_financieres,0,0,694,694,694,694,1114,0
total_i__immobilisations,0,0,103871,143253,63507,88679,74207,0
marchandises,0,0,468904,399946,325377,300752,170084,0
clients_et_comptes_rattaches,0,0,1312338,737798,914060,771713,669824,0
autres_creances,0,0,78777,80402,130807,116466,115264,0
disponibilites,0,0,224686,671050,355807,98821,196947,0
charges_constatees_davance,0,0,6173,2978,2359,1409,1771,0
total_ii__actif_circulant,0,0,2192960,1940866,1728409,1289160,1153890,0
total_general__actif,0,0,2296831,2084119,1791916,1377839,1228097,0
capital_social_ou_individuel,0,0,175000,175000,205000,205000,205000,0
reserve_legale,0,0,20500,20500,20500,20500,20500,0
report_a_nouveau,0,0,63508,228022,322192,359081,114955,0
resultat_de_lexercice_benefice_ou_perte,0,0,451290,235486,278672,113111,244126,0
total_i__capital_social,0,0,710297,659008,826364,697692,584581,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,890,203,502,438,300,0
emprunts_et_dettes_financieres_divers,0,0,413675,681835,162163,153558,3266,0
dettes_fournisseurs_et_comptes_rattaches,0,0,322429,182676,327277,187651,102087,0
dettes_fiscales_et_sociales,0,0,443457,480550,421244,314586,472974,0
autres_dettes,0,0,1144,79847,54365,23915,47107,0
total_iv__dettes,0,0,1181595,1425111,965552,680147,623543,0
total_general__passif,0,0,2296831,2084119,1791916,1377839,1228097,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,1181595,1425111,965552,680147,625734,0
provisions_pour_risques,0,0,404938,0,0,0,19972,0
total_iii__provisions,0,0,404938,0,0,0,19972,0
produits_constates_davance,0,0,0,0,0,0,-2190,0
capital_souscrit_non_appele,0,0,0,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,102082,48693,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,291,0,0,0,0,0
