Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,4819852,3701501,3674221,2777058,2672543,0
chiffres_daffaires_nets,0,0,4921447,3737842,3674221,2777058,2672543,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,13326,196193,47366,36907,6367,0
autres_produits,0,0,4888,97,-11012,779,274,0
total_des_produits_dexploitation_i,0,0,4939661,3934131,3710575,2814744,2680417,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,2361914,1846685,1928807,1533540,1265017,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,110483,97611,120409,68813,51577,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,-82764,-57612,-9742,-102942,-110254,0
autres_achats_et_charges_externes,0,0,575817,463239,375061,299482,276224,0
impots_taxes_et_versements_assimiles,0,0,45540,48598,33580,36926,20965,0
salaires_et_traitements,0,0,541918,630105,570272,553867,523043,0
charges_sociales,0,0,217286,272559,220293,191253,177767,0
dot_dexploit__dotations_aux_amortissements,0,0,35365,32368,25173,23538,10582,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,154483,4908,5391,72524,0
autres_charges,0,0,166,481,1012,251,200,0
total_des_charges_dexploitation_ii,0,0,4224716,3488517,3269772,2610120,2297631,0
_resultat_dexploitation_i__ii,0,0,714944,445615,440803,204624,382786,0
differences_positives_de_change,0,0,2138,194,-891,968,2644,0
total_des_produits_financiers_v,0,0,2138,194,-891,968,2644,0
interets_et_charges_assimilees,0,0,91418,68992,56894,44268,41746,0
differences_negatives_de_change,0,0,1818,4512,1672,1650,9630,0
total_des_charges_financieres_vi,0,0,93236,73504,58566,45918,51376,0
_resultat_financier_v__vi,0,0,-91097,-73310,-59457,-44950,-48732,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,623847,372304,381346,159674,334054,0
produits_exceptionnels_sur_operations_de_gestion,0,0,5000,974,17732,3915,5807,0
produits_exceptionnels_sur_operations_en_capital,0,0,50000,0,0,54000,66433,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,19972,0,0
total_des_produits_exceptionnels_vii,0,0,55000,974,17732,77887,72240,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,32199,38719,2494,7735,4803,0
charges_exceptionnelles_sur_operations_en_capital,0,0,26180,1647,0,51270,47325,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,19972,0,0
total_des_charges_exceptionnelles_viii,0,0,58379,40366,2494,78978,52128,0
_resultat_exceptionnel_vii__viii,0,0,-3379,-39392,15237,-1091,20112,0
impots_sur_les_benefices,0,0,169178,97426,117912,45472,110041,0
total_des_produits_i__iii__v__vii,0,0,4996799,3935299,3727416,2893599,2755301,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,4545510,3699813,3448744,2780488,2511175,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,451290,235486,278672,113111,244126,0
subventions_dexploitation,0,0,0,0,0,0,1233,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,404938,0,0,0,9986,0
production_vendue_services,0,0,101594,36340,0,0,0,0
dot_dexploit__dotations_aux_provisions,0,0,14054,0,0,0,0,0
