Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,0,0,18293,18294,18294,18294,18294
autres_immobilisations_corporelles,0,0,0,15902,18328,21381,23536,28365
autres_immobilisations_financieres,0,0,0,31622,31622,31622,31659,9091
total_i__immobilisations,0,0,0,65818,68244,71297,73489,55750
marchandises,0,0,0,1115198,1032169,985917,947972,827006
clients_et_comptes_rattaches,0,0,0,44970,30184,37731,13176,1859
autres_creances,0,0,0,30929,56872,26452,84292,3940
disponibilites,0,0,0,21685,116249,179325,103893,580076
charges_constatees_davance,0,0,0,5746,8008,5253,14254,8120
total_ii__actif_circulant,0,0,0,1218530,1243482,1234677,1163586,1421001
total_general__actif,0,0,0,1284348,1314472,1305974,1237075,1476750
capital_social_ou_individuel,0,0,0,8000,8000,8000,8000,8000
reserve_legale,0,0,0,800,800,800,800,800
report_a_nouveau,0,0,0,693135,853357,853357,898924,1067114
resultat_de_lexercice_benefice_ou_perte,0,0,0,-140678,-160222,62604,-45567,106311
total_i__capital_social,0,0,0,623860,764539,924761,862157,1182224
provisions_pour_risques,0,0,0,0,2746,32637,0,0
total_iii__provisions,0,0,0,0,2746,32637,0,0
emprunts_et_dettes_financieres_divers,0,0,0,246468,181927,53,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,61774,40524,27943,73589,187985
dettes_fiscales_et_sociales,0,0,0,24985,306164,303942,293793,100453
autres_dettes,0,0,0,302496,18572,16639,7536,6088
total_iv__dettes,0,0,0,635725,547187,348577,374918,294526
total_general__passif,0,0,0,1284348,1314472,1305974,1237075,1476750
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,635725,547187,348577,374918,294526
emprunts_participatifs,0,0,0,0,0,53,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
ecarts_de_conversion_actif,0,0,0,0,2746,0,0,0
autres_reserves,0,0,0,62603,62604,0,0,0
dettes_diverses,0,0,0,24763,0,0,0,0
