Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,244191,395169,379269,659742,897869
production_vendue_services,0,0,0,0,1974,2011,0,1884
chiffres_daffaires_nets,0,0,0,244663,397143,381280,659742,899753
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,1885,0,4425,860
autres_produits,0,0,0,167,13,75,38,1
total_des_produits_dexploitation_i,0,0,0,244830,399041,381355,664205,900614
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,257606,362678,109851,576557,132017
variation_de_stock_marchandises,0,0,0,-83029,-46252,-37944,-120966,342050
autres_achats_et_charges_externes,0,0,0,92644,124639,105636,166015,267768
impots_taxes_et_versements_assimiles,0,0,0,2740,2686,2591,1588,717
salaires_et_traitements,0,0,0,76862,85739,60952,44200,0
charges_sociales,0,0,0,25147,31247,23577,16628,236
dot_dexploit__dotations_aux_amortissements,0,0,0,3065,3054,3427,4830,6891
autres_charges,0,0,0,199,567,349,40,44
total_des_charges_dexploitation_ii,0,0,0,375236,564356,268440,688891,749723
_resultat_dexploitation_i__ii,0,0,0,-130405,-165315,112915,-24686,150891
differences_positives_de_change,0,0,0,602,1042,9292,3303,11235
total_des_produits_financiers_v,0,0,0,3349,1042,9292,3303,11253
differences_negatives_de_change,0,0,0,9481,2608,6043,24184,4478
total_des_charges_financieres_vi,0,0,0,13622,5908,6043,24184,4478
_resultat_financier_v__vi,0,0,0,-10273,-4866,3249,-20881,6775
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,-140678,-170182,116164,-45567,157667
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,39516,4180,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,32637,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,39516,36817,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-6879,-36817,0,0
impots_sur_les_benefices,0,0,0,0,-16839,16743,0,51356
total_des_produits_i__iii__v__vii,0,0,0,248179,432720,390647,667508,911867
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,388858,592942,328043,713075,805557
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,-140678,-160222,62604,-45567,106311
produits_nets_sur_cessions_de_valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,18
participation_des_salaries_aux_resultats_de_lentreprise,0,0,0,0,0,0,0,0
production_vendue_biens,0,0,0,472,0,0,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,2746,32637,0,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,0,0
interets_et_charges_assimilees,0,0,0,4140,554,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,32637,0,0,0
