Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,1570,0,5253,0,0,0,0,0
fonds_commercial,164000,0,5000,0,0,0,0,0
autres_immobilisations_corporelles,27725,0,31923,0,0,0,0,0
autres_titres_immobilises,22,0,22,0,0,0,0,0
autres_immobilisations_financieres,7710,0,3000,0,0,0,0,0
total_i__immobilisations,201027,0,45197,0,0,0,0,0
marchandises,592062,0,420703,0,0,0,0,0
clients_et_comptes_rattaches,116468,0,164401,0,0,0,0,0
autres_creances,100574,0,128474,0,0,0,0,0
disponibilites,163101,0,114764,0,0,0,0,0
charges_constatees_davance,13475,0,13617,0,0,0,0,0
total_ii__actif_circulant,985680,0,841959,0,0,0,0,0
total_general__actif,1186707,0,887156,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,3000,0,3000,0,0,0,0,0
reserve_legale,300,0,300,0,0,0,0,0
report_a_nouveau,113944,0,7512,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,25200,0,51377,0,0,0,0,0
total_i__capital_social,142445,0,62189,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,13808,0,19166,0,0,0,0,0
emprunts_et_dettes_financieres_divers,701431,0,380219,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,262397,0,340836,0,0,0,0,0
dettes_fiscales_et_sociales,59184,0,84747,0,0,0,0,0
autres_dettes,7441,0,0,0,0,0,0,0
total_iv__dettes,1044262,0,824967,0,0,0,0,0
total_general__passif,1186707,0,887156,0,0,0,0,0
emprunts_participatifs,701431,0,380219,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,156,0,0,0,0,0
