Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,2000,2000,0
immobilisations_corporelles,0,0,0,0,0,0,0,0
immobilisations_financieres,0,0,0,0,0,1281,1281,0
total_actif_immobilise,0,0,0,0,0,3281,3281,0
creances__autres,0,0,0,0,0,13739,13739,0
disponibilites,0,0,0,0,0,1313,1334,0
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,15052,15073,0
total_general_actif,0,0,0,0,0,18333,18354,0
capital_social_ou_individuel,0,0,0,0,0,8000,8000,0
reserve_legale,0,0,0,0,0,800,800,0
report_a_nouveau,0,0,0,0,0,-26929,-27681,0
resultat_de_lexercice,0,0,0,0,0,-4124,752,0
total_des_capitaux_propres__total_i,0,0,0,0,0,-22253,-18129,0
fournisseurs_et_comptes_rattaches,0,0,0,0,0,14591,11078,0
autres_dettes,0,0,0,0,0,25995,25405,0
total_des_dettes,0,0,0,0,0,40586,36483,0
total_general_passif,0,0,0,0,0,18333,18354,0
