Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,0,31256,35064,0
ventes_de_marchandises__france,0,0,0,0,0,31256,35064,0
production_vendue_de_services__france,0,0,0,0,0,2950,3900,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,34206,39024,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,28852,30032,0
autres_charges_externes,0,0,0,0,0,7796,7313,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,605,0,0
total_des_charges_dexploitation,0,0,0,0,0,37253,39877,0
resultat_dexploitation,0,0,0,0,0,-3046,-853,0
charges_financieres,0,0,0,0,0,84,60,0
charges_exceptionnelles,0,0,0,0,0,994,320,0
benefice_ou_perte,0,0,0,0,0,-4124,752,0
autres_produits,0,0,0,0,0,0,60,0
variation_de_stock_marchandises,0,0,0,0,0,0,910,0
dotations_aux_amortissements,0,0,0,0,0,0,1622,0
produits_exceptionnels,0,0,0,0,0,0,1986,0
