Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,0,0,0,4987,1892
immobilisations_financieres,0,0,0,0,0,0,149,149
total_actif_immobilise,0,0,0,0,0,0,5203,2041
stock_marchandises,0,0,0,0,0,0,29698,51107
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,108617,113551
creances__autres,0,0,0,0,0,0,9291,14749
disponibilites,0,0,0,0,0,0,105924,96905
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,253531,276312
total_general_actif,0,0,0,0,0,0,258734,278353
capital_social_ou_individuel,0,0,0,0,0,0,70000,70000
reserve_legale,0,0,0,0,0,0,1630,1630
autres_reserves,0,0,0,0,0,0,0,2662
resultat_de_lexercice,0,0,0,0,0,0,2545,-12806
total_des_capitaux_propres__total_i,0,0,0,0,0,0,64030,61486
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,166937,210468
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,0,27767,6399
total_des_dettes,0,0,0,0,0,0,194704,216868
total_general_passif,0,0,0,0,0,0,258734,278353
immobilisations_incorporelles__autres,0,0,0,0,0,0,67,0
report_a_nouveau,0,0,0,0,0,0,-10144,0
