Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,0,0,91145,72528
ventes_de_marchandises__france,0,0,0,0,0,0,634377,622677
production_vendue_de_services__france,0,0,0,0,0,0,5698,9064
autres_produits,0,0,0,0,0,0,613,5
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,640688,631745
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,465744,510803
variation_de_stock_marchandises,0,0,0,0,0,0,21409,-8046
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,218,217
autres_charges_externes,0,0,0,0,0,0,48321,56821
dont_taxe_professionnelle,0,0,0,0,0,0,700,703
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,7594,9492
remunerations_du_personnel,0,0,0,0,0,0,57277,43755
charges_sociales,0,0,0,0,0,0,20775,28786
dotations_aux_amortissements,0,0,0,0,0,0,3549,1806
autres_charges,0,0,0,0,0,0,16,103
total_des_charges_dexploitation,0,0,0,0,0,0,636449,643737
resultat_dexploitation,0,0,0,0,0,0,4239,-11992
produits_financiers,0,0,0,0,0,0,4,102
charges_financieres,0,0,0,0,0,0,1699,888
charges_exceptionnelles,0,0,0,0,0,0,0,28
benefice_ou_perte,0,0,0,0,0,0,2545,-12806
montant_de_la_tva_collectee,0,0,0,0,0,0,109401,111449
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,100753,104197
effectif_moyen_du_personnel,0,0,0,0,0,0,0,1
dotations_aux_provisions,0,0,0,0,0,0,11545,0
