Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,344
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,636
autres_immobilisations_corporelles,0,0,0,0,0,0,0,7459
total_i__immobilisations,0,0,0,0,0,0,0,8438
marchandises,0,0,0,0,0,0,0,92368
clients_et_comptes_rattaches,0,0,0,0,0,0,0,44157
autres_creances,0,0,0,0,0,0,0,3624
disponibilites,0,0,0,0,0,0,0,0
charges_constatees_davance,0,0,0,0,0,0,0,5503
total_ii__actif_circulant,0,0,0,0,0,0,0,145652
total_general__actif,0,0,0,0,0,0,0,154090
capital_social_ou_individuel,0,0,0,0,0,0,0,1000
reserve_legale,0,0,0,0,0,0,0,100
autres_reserves,0,0,0,0,0,0,0,67213
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,19639
total_i__capital_social,0,0,0,0,0,0,0,87952
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,9209
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,31896
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,11193
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,11064
autres_dettes,0,0,0,0,0,0,0,240
total_iv__dettes,0,0,0,0,0,0,0,66139
total_general__passif,0,0,0,0,0,0,0,154090
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,61788
