Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,157508
production_vendue_services,0,0,0,0,0,0,0,23247
chiffres_daffaires_nets,0,0,0,0,0,0,0,180755
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,946
autres_produits,0,0,0,0,0,0,0,267
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,181968
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,77427
variation_de_stock_marchandises,0,0,0,0,0,0,0,22242
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,2509
autres_achats_et_charges_externes,0,0,0,0,0,0,0,43307
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,4324
salaires_et_traitements,0,0,0,0,0,0,0,32232
charges_sociales,0,0,0,0,0,0,0,11659
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,6245
autres_charges,0,0,0,0,0,0,0,475
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,162934
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,19034
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,0
differences_positives_de_change,0,0,0,0,0,0,0,180
total_des_produits_financiers_v,0,0,0,0,0,0,0,180
interets_et_charges_assimilees,0,0,0,0,0,0,0,1210
differences_negatives_de_change,0,0,0,0,0,0,0,412
total_des_charges_financieres_vi,0,0,0,0,0,0,0,1623
_resultat_financier_v__vi,0,0,0,0,0,0,0,1442
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,17592
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,5588
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,5588
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,29
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,29
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,5559
impots_sur_les_benefices,0,0,0,0,0,0,0,3512
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,187736
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,168098
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,19639
