Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,147,666,0,1756,0,0,0
autres_immobilisations_corporelles,0,17493,5199,0,4275,0,0,0
autres_titres_immobilises,0,48,48,0,0,0,0,0
autres_immobilisations_financieres,0,12497,12417,0,14101,0,0,0
total_i__immobilisations,0,30185,18330,0,20132,0,0,0
marchandises,0,64150,52230,0,110415,0,0,0
clients_et_comptes_rattaches,0,23831,36632,0,33183,0,0,0
autres_creances,0,12631,17317,0,18975,0,0,0
disponibilites,0,273625,304850,0,169959,0,0,0
charges_constatees_davance,0,11740,24381,0,9799,0,0,0
total_ii__actif_circulant,0,385976,435410,0,342330,0,0,0
total_general__actif,0,416161,453740,0,362462,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,5000,5000,0,5000,0,0,0
reserve_legale,0,500,500,0,500,0,0,0
autres_reserves,0,272663,220443,0,210138,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,35776,52220,0,43455,0,0,0
total_i__capital_social,0,313939,278163,0,259094,0,0,0
emprunts_et_dettes_financieres_divers,0,1295,1295,0,1169,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,48022,27536,0,38615,0,0,0
dettes_fiscales_et_sociales,0,52905,146746,0,63585,0,0,0
total_iv__dettes,0,102222,175577,0,103369,0,0,0
total_general__passif,0,416161,453740,0,362462,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,102222,175577,0,103369,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
