Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,321290,321290,0,321290,0,0,0,0
immobilisations_incorporelles__autres,0,5553,0,30,0,0,0,0
immobilisations_corporelles,11044,14951,0,2479,0,0,0,0
immobilisations_financieres,0,0,0,3880,0,0,0,0
total_actif_immobilise,332334,341794,0,327678,0,0,0,0
stock_marchandises,223338,259165,0,209249,0,0,0,0
avances_et_acomptes_verses_sur_commandes,7634,9581,0,10865,0,0,0,0
creances__clients_et_comptes_rattaches,86325,65127,0,101746,0,0,0,0
creances__autres,41734,52636,0,53973,0,0,0,0
disponibilites,322222,263729,0,164467,0,0,0,0
charges_constatees_davance,11535,12497,0,13002,0,0,0,0
total_actif_circulant__charges_constatees_davance,692789,662736,0,553303,0,0,0,0
total_general_actif,1025123,1004530,0,880981,0,0,0,0
capital_social_ou_individuel,100000,100000,0,100000,0,0,0,0
reserve_legale,10000,10000,0,10000,0,0,0,0
autres_reserves,375269,334184,0,176696,0,0,0,0
resultat_de_lexercice,133929,41086,0,56866,0,0,0,0
total_des_capitaux_propres__total_i,619199,485269,0,343563,0,0,0,0
emprunts_et_dettes_assimilees,100190,169971,0,283327,0,0,0,0
fournisseurs_et_comptes_rattaches,114783,157442,0,90223,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,60176,191847,0,163869,0,0,0,0
produits_constates_davance,130775,0,0,0,0,0,0,0
total_des_dettes,405924,519260,0,537418,0,0,0,0
total_general_passif,1025123,1004530,0,880981,0,0,0,0
