Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_corporelles,0,0,0,0,0,0,1594,582
total_actif_immobilise,0,0,0,0,0,0,1594,582
stock_marchandises,0,0,0,0,0,0,8345,8068
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,244,2239
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,23298,8264
creances__autres,0,0,0,0,0,0,1451,7767
disponibilites,0,0,0,0,0,0,33202,13441
charges_constatees_davance,0,0,0,0,0,0,61,61
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,66600,39839
total_general_actif,0,0,0,0,0,0,68193,40421
capital_social_ou_individuel,0,0,0,0,0,0,7500,7500
reserve_legale,0,0,0,0,0,0,750,750
report_a_nouveau,0,0,0,0,0,0,15940,13670
resultat_de_lexercice,0,0,0,0,0,0,12728,2270
total_des_capitaux_propres__total_i,0,0,0,0,0,0,36918,24190
emprunts_et_dettes_assimilees,0,0,0,0,0,0,3342,3342
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,10872,9081
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,0,16978,3809
total_des_dettes,0,0,0,0,0,0,31275,16231
total_general_passif,0,0,0,0,0,0,68193,40421
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,83,0
