Libellé,2023,2022,2021,2020,2019,2018,2017,2016
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,1306,0,0
autres_immobilisations_financieres,0,0,0,0,0,2050,0,0
total_i__immobilisations,0,0,0,0,0,3356,0,0
marchandises,0,0,0,0,0,58025,0,0
clients_et_comptes_rattaches,0,0,0,0,0,1777,0,0
autres_creances,0,0,0,0,0,1270,0,0
disponibilites,0,0,0,0,0,9494,0,0
charges_constatees_davance,0,0,0,0,0,13939,0,0
total_ii__actif_circulant,0,0,0,0,0,84505,0,0
total_general__actif,0,0,0,0,0,87861,0,0
capital_social_ou_individuel,0,0,0,0,0,15000,0,0
reserve_legale,0,0,0,0,0,1500,0,0
report_a_nouveau,0,0,0,0,0,12386,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,15442,0,0
total_i__capital_social,0,0,0,0,0,44328,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,1279,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,2010,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,7400,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,22931,0,0
dettes_fiscales_et_sociales,0,0,0,0,0,6107,0,0
autres_dettes,0,0,0,0,0,3807,0,0
total_iv__dettes,0,0,0,0,0,43533,0,0
total_general__passif,0,0,0,0,0,87861,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,43533,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,0
