Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,216590,0,0
production_vendue_services,0,0,0,0,0,57883,0,0
chiffres_daffaires_nets,0,0,0,0,0,274473,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,0
autres_produits,0,0,0,0,0,235,0,0
total_des_produits_dexploitation_i,0,0,0,0,0,274708,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,83087,0,0
variation_de_stock_marchandises,0,0,0,0,0,18437,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,12,0,0
autres_achats_et_charges_externes,0,0,0,0,0,64458,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,-1567,0,0
salaires_et_traitements,0,0,0,0,0,55469,0,0
charges_sociales,0,0,0,0,0,38562,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,2170,0,0
autres_charges,0,0,0,0,0,3,0,0
total_des_charges_dexploitation_ii,0,0,0,0,0,258631,0,0
_resultat_dexploitation_i__ii,0,0,0,0,0,16077,0,0
interets_et_charges_assimilees,0,0,0,0,0,635,0,0
total_des_charges_financieres_vi,0,0,0,0,0,635,0,0
_resultat_financier_v__vi,0,0,0,0,0,-635,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,15442,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,274708,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,259265,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,15442,0,0
