Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,500,0,0,0,0,0,0,0
fonds_commercial,85000,0,0,0,0,0,0,0
autres_immobilisations_incorporelles,24356,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,186045,0,0,0,0,0,0,0
autres_participations,22,0,0,0,0,0,0,0
autres_immobilisations_financieres,20221,0,0,0,0,0,0,0
total_i__immobilisations,316144,0,0,0,0,0,0,0
marchandises,576320,0,0,0,0,0,0,0
clients_et_comptes_rattaches,260764,0,0,0,0,0,0,0
autres_creances,67883,0,0,0,0,0,0,0
disponibilites,8318,0,0,0,0,0,0,0
charges_constatees_davance,7510,0,0,0,0,0,0,0
total_ii__actif_circulant,920795,0,0,0,0,0,0,0
total_general__actif,1236939,0,0,0,0,0,0,0
capital_social_ou_individuel,5000,0,0,0,0,0,0,0
reserve_legale,500,0,0,0,0,0,0,0
autres_reserves,108495,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,-212548,0,0,0,0,0,0,0
total_i__capital_social,-98553,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,213,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,27844,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,560311,0,0,0,0,0,0,0
dettes_fiscales_et_sociales,150939,0,0,0,0,0,0,0
autres_dettes,596184,0,0,0,0,0,0,0
total_iv__dettes,1335492,0,0,0,0,0,0,0
total_general__passif,1236939,0,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,1335492,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,213,0,0,0,0,0,0,0
