Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,0,0,0,0,0
total_i__immobilisations,0,0,0,0,0,0,0,0
marchandises,0,0,0,0,0,0,0,0
clients_et_comptes_rattaches,0,0,0,0,0,0,0,0
autres_creances,0,0,0,0,0,0,0,0
disponibilites,0,0,0,0,0,0,0,0
total_ii__actif_circulant,0,0,0,0,0,0,0,0
total_general__actif,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,0,0,0,0
primes_demission_de_fusion_dapport,0,0,0,0,0,0,0,0
report_a_nouveau,0,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,0
total_i__capital_social,0,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,0
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,0
total_iv__dettes,0,0,0,0,0,0,0,0
total_general__passif,0,0,0,0,0,0,0,0
autres_immobilisations_financieres,0,0,0,0,0,0,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,0
charges_constatees_davance,0,0,0,0,0,0,0,0
emprunts_participatifs,0,0,0,0,0,0,0,0
