Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,1052,0,0,0,0,0,0,0
immobilisations_corporelles,10833,0,0,0,0,0,0,0
immobilisations_financieres,16150,0,0,0,0,0,0,0
total_actif_immobilise,28035,0,0,0,0,0,0,0
stock_marchandises,628831,0,0,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,12252,0,0,0,0,0,0,0
creances__clients_et_comptes_rattaches,71765,0,0,0,0,0,0,0
creances__autres,22832,0,0,0,0,0,0,0
disponibilites,191426,0,0,0,0,0,0,0
charges_constatees_davance,36442,0,0,0,0,0,0,0
total_actif_circulant__charges_constatees_davance,963549,0,0,0,0,0,0,0
total_general_actif,991584,0,0,0,0,0,0,0
capital_social_ou_individuel,309900,0,0,0,0,0,0,0
reserve_legale,8846,0,0,0,0,0,0,0
autres_reserves,212303,0,0,0,0,0,0,0
resultat_de_lexercice,93873,0,0,0,0,0,0,0
total_des_capitaux_propres__total_i,624921,0,0,0,0,0,0,0
emprunts_et_dettes_assimilees,97586,0,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,112950,0,0,0,0,0,0,0
fournisseurs_et_comptes_rattaches,93341,0,0,0,0,0,0,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,58266,0,0,0,0,0,0,0
produits_constates_davance,4520,0,0,0,0,0,0,0
total_des_dettes,366663,0,0,0,0,0,0,0
total_general_passif,991584,0,0,0,0,0,0,0
