Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,2621,1326
autres_immobilisations_corporelles,0,0,0,3883,4568,0,-1709,8990
prets,0,0,0,3801,3801,0,3801,3801
autres_immobilisations_financieres,0,0,0,15015,14920,0,14148,14148
total_i__immobilisations,0,0,0,22699,23290,0,18862,28267
produits_intermediaires_et_finis,0,0,0,84514,58745,0,215712,187049
marchandises,0,0,0,119570,119570,0,0,0
clients_et_comptes_rattaches,0,0,0,90386,62168,0,54898,86839
autres_creances,0,0,0,29883,23145,0,183705,172758
disponibilites,0,0,0,22668,0,0,2534,3744
total_ii__actif_circulant,0,0,0,347023,283923,0,477352,554794
total_general__actif,0,0,0,369723,307213,0,496215,583061
capital_social_ou_individuel,0,0,0,3000,3000,0,3000,3000
reserve_legale,0,0,0,300,300,0,300,300
report_a_nouveau,0,0,0,212549,265035,0,397021,216949
resultat_de_lexercice_benefice_ou_perte,0,0,0,-86303,-52485,0,-72509,180072
total_i__capital_social,0,0,0,129546,215849,0,327812,400321
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,110000,12554,0,11296,17227
emprunts_et_dettes_financieres_divers,0,0,0,1625,507,0,34986,20094
dettes_fournisseurs_et_comptes_rattaches,0,0,0,84284,61257,0,111945,96146
dettes_fiscales_et_sociales,0,0,0,26986,7194,0,10174,29455
autres_dettes,0,0,0,17280,9850,0,0,10726
total_iv__dettes,0,0,0,240177,91364,0,168402,182739
total_general__passif,0,0,0,369723,307213,0,496215,583061
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,130177,91364,0,168402,173650
avances_et_acomptes_verses_sur_commandes,0,0,0,0,20293,0,20293,20293
charges_constatees_davance,0,0,0,0,0,0,208,206
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,9088
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,12554,0,11296,17227
matieres_premieres_approvisionnements,0,0,0,0,0,0,0,83903
