Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,0,0,0,190529,221526,0,385337,818324
production_vendue_services,0,0,0,47850,118990,0,159936,77457
chiffres_daffaires_nets,0,0,0,238379,340516,0,545274,895781
production_stockee,0,0,0,84514,-29505,0,0,0
subventions_dexploitation,0,0,0,10250,0,0,0,0
autres_produits,0,0,0,11212,702,0,2122,14904
total_des_produits_dexploitation_i,0,0,0,344356,311714,0,547396,910685
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,55985,57567,0,111551,248390
variation_de_stock_marchandises,0,0,0,58745,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,64850,84297,0,115675,103949
autres_achats_et_charges_externes,0,0,0,166780,170878,0,204472,313957
impots_taxes_et_versements_assimiles,0,0,0,949,3153,0,6511,2771
salaires_et_traitements,0,0,0,67883,42459,0,70657,142125
charges_sociales,0,0,0,27467,15432,0,44769,85576
dot_dexploit__dotations_aux_amortissements,0,0,0,1955,3284,0,11137,13905
autres_charges,0,0,0,2722,2219,0,4837,8472
total_des_charges_dexploitation_ii,0,0,0,447339,375963,0,624853,835246
_resultat_dexploitation_i__ii,0,0,0,-102983,-64249,0,-77456,75439
interets_et_charges_assimilees,0,0,0,2060,3536,0,3981,52032
differences_negatives_de_change,0,0,0,35,211,0,-392,0
total_des_charges_financieres_vi,0,0,0,2095,3748,0,3588,52032
_resultat_financier_v__vi,0,0,0,-2095,-3462,0,-3430,-51560
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,-105079,-67711,0,-80887,23879
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,204,4462,0,987,602
total_des_charges_exceptionnelles_viii,0,0,0,204,4462,0,987,602
_resultat_exceptionnel_vii__viii,0,0,0,-204,-4462,0,-987,-602
impots_sur_les_benefices,0,0,0,-18980,-19688,0,-9365,-156795
total_des_produits_i__iii__v__vii,0,0,0,344356,312001,0,547554,911158
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,430659,364486,0,620064,731086
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,-86303,-52485,0,-72509,180072
ventes_de_marchandises,0,0,0,0,0,0,0,0
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,281
differences_positives_de_change,0,0,0,0,286,0,158,191
total_des_produits_financiers_v,0,0,0,0,286,0,158,472
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,-3327,0,55240,-83903
perte_supportee_ou_benefice_transfere_iv,0,0,0,0,1,0,0,0
