Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_de_biens__france,0,0,0,0,0,21520,6161,0
production_vendue_de_services__france,0,0,0,0,0,2300,2333,0
total_des_produits_dexploitation_hors_tva,19039,0,25680,19359,10813,23820,8494,0
achats_de_marchandises_y_compris_droits_de_douane,6159,0,14708,8580,0,14432,4400,0
autres_charges_externes,0,0,0,0,0,78,225,0
impots_taxes_et_versements_assimiles,264,0,245,244,255,122,125,0
remunerations_du_personnel,5000,0,8228,8000,4500,4000,6810,0
charges_sociales,915,0,3517,1658,2403,4969,1144,0
total_des_charges_dexploitation,12469,0,26858,18503,11838,23601,12704,0
resultat_dexploitation,0,0,-1178,856,-1025,219,-4210,0
benefice_ou_perte,6570,0,-1178,0,-1025,219,-4210,0
dont_taxe_professionnelle,0,0,0,0,0,0,125,0
montant_de_la_tva_collectee,0,0,1413,0,0,0,806,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,468,0,0,0,39,0
ventes_de_marchandises__france,19039,0,25680,19359,10813,0,0,0
autres_charges,131,0,160,21,0,0,0,0
effectif_moyen_du_personnel,0,0,0,0,1,0,0,0
