Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,1298689
chiffres_daffaires_nets,0,0,0,0,0,0,0,1298689
autres_produits,0,0,0,0,0,0,0,4
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,1298694
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,895547
variation_de_stock_marchandises,0,0,0,0,0,0,0,55040
autres_achats_et_charges_externes,0,0,0,0,0,0,0,227851
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,1876
salaires_et_traitements,0,0,0,0,0,0,0,118983
charges_sociales,0,0,0,0,0,0,0,53507
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,9362
autres_charges,0,0,0,0,0,0,0,434
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,1362602
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,-63908
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,2
differences_positives_de_change,0,0,0,0,0,0,0,1971
total_des_produits_financiers_v,0,0,0,0,0,0,0,1974
interets_et_charges_assimilees,0,0,0,0,0,0,0,5841
differences_negatives_de_change,0,0,0,0,0,0,0,5970
total_des_charges_financieres_vi,0,0,0,0,0,0,0,11811
_resultat_financier_v__vi,0,0,0,0,0,0,0,-9836
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,-73745
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,823
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,823
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-823
impots_sur_les_benefices,0,0,0,0,0,0,0,-4829
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,1300668
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,1370407
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,-69739
