Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,0,0,110500
immobilisations_corporelles,0,0,0,0,0,0,0,33534
total_actif_immobilise,0,0,0,0,0,0,0,144034
stock_marchandises,0,0,0,0,0,0,0,54124
creances__autres,0,0,0,0,0,0,0,859
disponibilites,0,0,0,0,0,0,0,14554
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,0,70303
total_general_actif,0,0,0,0,0,0,0,214337
capital_social_ou_individuel,0,0,0,0,0,0,0,2000
reserve_legale,0,0,0,0,0,0,0,200
report_a_nouveau,0,0,0,0,0,0,0,26098
resultat_de_lexercice,0,0,0,0,0,0,0,-3173
total_des_capitaux_propres__total_i,0,0,0,0,0,0,0,25125
emprunts_et_dettes_assimilees,0,0,0,0,0,0,0,49209
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,23570
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,0,0,116433
total_des_dettes,0,0,0,0,0,0,0,189212
total_general_passif,0,0,0,0,0,0,0,214337
charges_constatees_davance,0,0,0,0,0,0,0,765
