Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,0,0,237219
autres_produits,0,0,0,0,0,0,0,0
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,0,237220
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,115328
variation_de_stock_marchandises,0,0,0,0,0,0,0,3743
autres_charges_externes,0,0,0,0,0,0,0,56302
dont_taxe_professionnelle,0,0,0,0,0,0,0,2484
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,2512
remunerations_du_personnel,0,0,0,0,0,0,0,36041
charges_sociales,0,0,0,0,0,0,0,14862
dotations_aux_amortissements,0,0,0,0,0,0,0,9899
autres_charges,0,0,0,0,0,0,0,0
total_des_charges_dexploitation,0,0,0,0,0,0,0,238686
resultat_dexploitation,0,0,0,0,0,0,0,-1467
charges_financieres,0,0,0,0,0,0,0,1766
charges_exceptionnelles,0,0,0,0,0,0,0,0
impots_sur_les_benefices,0,0,0,0,0,0,0,-60
benefice_ou_perte,0,0,0,0,0,0,0,-3173
montant_de_la_tva_collectee,0,0,0,0,0,0,0,0
effectif_moyen_du_personnel,0,0,0,0,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,0,0
dont_credit_bail_mobilier,0,0,0,0,0,0,0,1
dont_credit_bail_immobilier,0,0,0,0,0,0,0,-1
