Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,0,39872,0,0
production_vendue_de_services__export,0,0,0,0,0,94064,0,0
ventes_de_marchandises__france,671861,0,658261,488576,629292,622924,558396,0
production_vendue_de_services__france,8269,0,15732,4593,3740,4488,3827,0
autres_produits,3,0,6,15,15,10,4,0
total_des_produits_dexploitation_hors_tva,680133,0,745062,497683,633046,627422,562227,0
achats_de_marchandises_y_compris_droits_de_douane,282564,0,435724,298854,423068,411393,336544,0
variation_de_stock_marchandises,117253,0,180,-10259,-56397,-40106,5138,0
achats_de_matieres_premieres_et_autres_approvisionnements,29624,0,9,2034,0,7572,0,0
autres_charges_externes,140430,0,108693,99308,104104,101696,98410,0
dont_taxe_professionnelle,2845,0,3734,4745,5070,-47201,5221,0
impots_taxes_et_versements_assimiles,12819,0,12377,13307,12950,11167,11482,0
remunerations_du_personnel,125195,0,116258,86766,111098,96516,80192,0
charges_sociales,10951,0,5382,8797,13119,15251,13944,0
dotations_aux_amortissements,2773,0,1542,1928,1678,2698,1533,0
autres_charges,11,0,4,15,12,6,25,0
total_des_charges_dexploitation,721620,0,680170,500749,609631,606194,547267,0
resultat_dexploitation,-41487,0,64892,-3066,23416,21228,14960,0
produits_exceptionnels,1670,0,525,0,103,323,56,0
impots_sur_les_benefices,0,0,2679,0,3141,2262,1382,0
benefice_ou_perte,-39817,0,62738,-3054,19385,19289,8366,0
montant_de_la_tva_collectee,0,0,119257,0,0,98134,142068,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,104908,70304,104826,31341,77611,0
effectif_moyen_du_personnel,0,0,7,7,7,6,6,0
subventions_dexploitation_recues,0,0,71063,4500,0,0,0,0
dont_credit_bail_mobilier,13519,0,0,0,0,0,0,0
charges_financieres,0,0,0,0,992,0,41,0
charges_exceptionnelles,0,0,0,0,0,0,5226,0
produits_financiers,0,0,0,12,0,0,0,0
