Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,1366813,0,1257653,907076,757837,0,0,370227
production_vendue_services,6072,0,3763,1927,1594,0,0,2708
chiffres_daffaires_nets,1372885,0,1261416,909003,759431,0,0,372985
autres_produits,16269,0,2197,2100,1595,0,0,4409
total_des_produits_dexploitation_i,1389154,0,1282590,930797,818921,0,0,377394
achats_de_marchandises_y_compris_droits_de_douane,814306,0,881387,578579,507565,0,0,230940
variation_de_stock_marchandises,-63631,0,-232968,-50600,-91443,0,0,-16025
achats_de_matieres_premieres_et_autres_approvisionnements,19043,0,29349,10896,0,0,0,1908
autres_achats_et_charges_externes,305419,0,272901,179575,213833,0,0,154165
impots_taxes_et_versements_assimiles,3611,0,3011,3968,2235,0,0,3759
salaires_et_traitements,192850,0,188223,122791,101035,0,0,86862
charges_sociales,41531,0,31624,17063,20038,0,0,21025
dot_dexploit__dotations_aux_amortissements,701,0,2819,3829,3728,0,0,2670
autres_charges,8364,0,5059,2052,45429,0,0,188
total_des_charges_dexploitation_ii,1322194,0,1199739,868155,802420,0,0,490402
_resultat_dexploitation_i__ii,66960,0,82850,62643,16501,0,0,-113008
autres_interets_et_produits_assimiles,606,0,291,102,0,0,0,0
total_des_produits_financiers_v,606,0,291,102,0,0,0,0
interets_et_charges_assimilees,29177,0,10593,4742,4394,0,0,11415
total_des_charges_financieres_vi,29177,0,10593,4742,4394,0,0,11415
_resultat_financier_v__vi,-28571,0,-10302,-4640,-4394,0,0,-11415
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,38389,0,72548,58003,12107,0,0,-124424
produits_exceptionnels_sur_operations_de_gestion,798,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,798,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,830,0,2623,33,90,0,0,0
total_des_charges_exceptionnelles_viii,830,0,2623,33,90,0,0,0
_resultat_exceptionnel_vii__viii,-32,0,-2623,-33,-90,0,0,0
total_des_produits_i__iii__v__vii,1390558,0,1282880,930899,818921,0,0,377394
total_des_charges_ii__iv__vi__viii__ix__x,1352201,0,1212955,872930,806905,0,0,501818
benefice_ou_perte_total_des_produits__total_des_charges,38357,0,69925,57970,12017,0,0,-124424
subventions_dexploitation,0,0,2000,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,16976,19695,57894,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,18334,0,0,0,0,4908
production_vendue_biens,0,0,0,0,0,0,0,50
