Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
constructions,0,0,0,0,1927,3086,4246,5405
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,454
autres_immobilisations_financieres,0,0,0,0,825,825,825,825
total_i__immobilisations,0,0,0,0,2752,3911,5071,9130
avances_et_acomptes_verses_sur_commandes,0,0,0,0,1993,1993,1993,1648
clients_et_comptes_rattaches,0,0,0,0,14349,23919,46126,113764
autres_creances,0,0,0,0,7052,21433,10990,10317
total_ii__actif_circulant,0,0,0,0,23394,47345,85281,225820
total_general__actif,0,0,0,0,26146,51256,90352,234951
capital_social_ou_individuel,0,0,0,0,7500,7500,7500,7500
reserve_legale,0,0,0,0,750,750,750,750
autres_reserves,0,0,0,0,6880,6880,6880,6880
report_a_nouveau,0,0,0,0,-9358,7983,-53201,-29070
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,-6805,-17340,61184,-24132
total_i__capital_social,0,0,0,0,-1034,5772,23112,-38072
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,994,3435,2900,99071
emprunts_et_dettes_financieres_divers,0,0,0,0,163,638,638,339
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,2858,11870,27740,160561
dettes_fiscales_et_sociales,0,0,0,0,7417,8534,19072,12407
autres_dettes,0,0,0,0,15748,21008,16889,646
total_iv__dettes,0,0,0,0,27180,45484,67240,273023
total_general__passif,0,0,0,0,26146,51256,90352,234951
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,27180,45484,67240,273023
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,994,3435,2900,99071
marchandises,0,0,0,0,0,0,16060,91239
disponibilites,0,0,0,0,0,0,9939,8616
charges_constatees_davance,0,0,0,0,0,0,173,237
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,2446
