Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,3799,181131,316354
production_vendue_services,0,0,0,0,56244,76873,-10955,0
chiffres_daffaires_nets,0,0,0,0,56244,80672,170175,316354
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,309,5107,0,5748
autres_produits,0,0,0,0,0,32,5,1195
total_des_produits_dexploitation_i,0,0,0,0,56552,85810,170180,323297
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,1238,-5569,57921,181536
variation_de_stock_marchandises,0,0,0,0,0,21167,70072,1836
autres_achats_et_charges_externes,0,0,0,0,27257,42678,60899,96442
impots_taxes_et_versements_assimiles,0,0,0,0,3527,3001,5838,2838
salaires_et_traitements,0,0,0,0,9132,31803,46406,47100
charges_sociales,0,0,0,0,9253,7742,15026,9274
dot_dexploit__dotations_aux_amortissements,0,0,0,0,1159,1159,1951,2176
autres_charges,0,0,0,0,3,1,9060,1330
total_des_charges_dexploitation_ii,0,0,0,0,51569,101983,272280,345483
_resultat_dexploitation_i__ii,0,0,0,0,4983,-16172,-102100,-22187
interets_et_charges_assimilees,0,0,0,0,1070,1082,1415,1187
total_des_charges_financieres_vi,0,0,0,0,1070,1082,1415,1187
_resultat_financier_v__vi,0,0,0,0,-1070,-1082,-1415,-1169
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,3913,-17254,-103515,-23356
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,1004,0,168958,0
total_des_produits_exceptionnels_vii,0,0,0,0,1004,0,168958,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,11722,86,125,776
total_des_charges_exceptionnelles_viii,0,0,0,0,11722,86,2233,776
_resultat_exceptionnel_vii__viii,0,0,0,0,-10718,-86,166724,-776
total_des_produits_i__iii__v__vii,0,0,0,0,57557,85810,339138,323315
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,64362,103151,277954,347446
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,-6805,-17340,61184,-24132
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,5107,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,2108,0
impots_sur_les_benefices,0,0,0,0,0,0,2025,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,2950
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,18
total_des_produits_financiers_v,0,0,0,0,0,0,0,18
