Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,7557,0,0,0,13012,0,1307,2957
fonds_commercial,60000,60000,0,0,60000,0,60000,60000
installations_techniques_materiel_et_outillage_industriels,95262,87756,0,0,64214,0,19326,26285
autres_immobilisations_corporelles,74918,90057,0,0,56899,0,72819,61386
autres_immobilisations_financieres,17098,17098,0,0,5848,0,5243,5243
total_i__immobilisations,254836,254912,0,0,865764,0,158696,155870
matieres_premieres_approvisionnements,27715,23826,0,0,34614,0,9731,12823
marchandises,1809457,1638459,0,0,1043518,0,753779,668669
avances_et_acomptes_verses_sur_commandes,37140,37140,0,0,37140,0,47091,75630
clients_et_comptes_rattaches,341724,557880,0,0,561622,0,188237,136887
autres_creances,22956,56641,0,0,23015,0,79930,14140
disponibilites,131764,71412,0,0,47817,0,131453,149786
charges_constatees_davance,775,983,0,0,42598,0,32577,5000
total_ii__actif_circulant,2371532,2386340,0,0,1790323,0,1242797,1062936
total_general__actif,2626367,2641252,0,0,2656087,0,1401493,1218807
capital_social_ou_individuel,299550,299550,0,0,277650,0,277650,165050
primes_demission_de_fusion_dapport,1031784,1031784,0,0,453684,0,453684,67150
reserve_legale,4984,4984,0,0,4984,0,4984,4934
autres_reserves,0,0,0,0,0,0,0,94692
report_a_nouveau,-1083399,-400997,0,0,-722323,0,-145296,0
resultat_de_lexercice_benefice_ou_perte,-101087,-682402,0,0,-180158,0,-288888,-239938
total_i__capital_social,151832,252919,0,0,-166163,0,302134,91888
emprunts_et_dettes_financieres_divers,1970977,1553166,0,0,2446955,0,707590,923815
dettes_fournisseurs_et_comptes_rattaches,384557,652330,0,0,268597,0,299956,115362
dettes_fiscales_et_sociales,108946,137683,0,0,67996,0,84808,72153
autres_dettes,5270,30146,0,0,38702,0,7004,15587
total_iv__dettes,2471314,2374238,0,0,2822250,0,1099359,1126918
total_general__passif,2626367,2641252,0,0,2656087,0,1401493,1218807
dettes_et_produits_constates_davance_a_moins_dun_an,0,821072,0,0,0,0,1099359,1126918
autres_participations,0,0,0,0,1,0,1,0
creances_rattachees_a_des_participations,0,0,0,0,665790,0,0,0
emprunts_participatifs,1970977,1553166,0,0,2446955,0,0,0
ecarts_de_conversion_actif,0,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
provisions_pour_risques,0,0,0,0,0,0,0,0
total_iii__provisions,0,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,1564,912,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
dettes_diverses,3222,14096,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
