Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,2140605,0,0,0,0,1096633,806276
production_vendue_services,0,3970,0,0,0,0,2705,934
chiffres_daffaires_nets,0,2144575,0,0,0,0,1099339,807211
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,4940,0,0,0,0,79306,27667
autres_produits,0,8194,0,0,0,0,146,178
total_des_produits_dexploitation_i,0,2169043,0,0,0,0,1178790,835056
achats_de_marchandises_y_compris_droits_de_douane,0,1588093,0,0,0,0,633116,402891
variation_de_stock_marchandises,0,-580901,0,0,0,0,-53970,32145
achats_de_matieres_premieres_et_autres_approvisionnements,0,96986,0,0,0,0,45686,953
variation_de_stock_matieres_premieres_et_approvisionnements,0,-7136,0,0,0,0,3092,3496
autres_achats_et_charges_externes,0,732986,0,0,0,0,464238,281624
impots_taxes_et_versements_assimiles,0,15188,0,0,0,0,4299,16030
salaires_et_traitements,0,481528,0,0,0,0,232910,222554
charges_sociales,0,142920,0,0,0,0,84086,80792
dot_dexploit__dotations_aux_amortissements,0,53240,0,0,0,0,19782,19026
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,25629,0
autres_charges,0,47136,0,0,0,0,4922,5261
total_des_charges_dexploitation_ii,0,2570039,0,0,0,0,1463790,1064771
_resultat_dexploitation_i__ii,0,-400996,0,0,0,0,-285000,-229715
differences_positives_de_change,0,0,0,0,0,0,4945,7589
total_des_produits_financiers_v,0,0,0,0,0,0,4945,7589
interets_et_charges_assimilees,0,23758,0,0,0,0,6364,5815
differences_negatives_de_change,0,0,0,0,0,0,3230,7801
total_des_charges_financieres_vi,0,23759,0,0,0,0,9593,13616
_resultat_financier_v__vi,0,-23759,0,0,0,0,-4649,-6027
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,-424754,0,0,0,0,-289649,-235743
produits_exceptionnels_sur_operations_de_gestion,0,500000,0,0,0,0,962,0
total_des_produits_exceptionnels_vii,0,500000,0,0,0,0,962,0
charges_exceptionnelles_sur_operations_de_gestion,0,757648,0,0,0,0,201,4245
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,757648,0,0,0,0,201,4245
_resultat_exceptionnel_vii__viii,0,-257648,0,0,0,0,761,-4245
total_des_produits_i__iii__v__vii,0,2669043,0,0,0,0,1184697,842644
total_des_charges_ii__iv__vi__viii__ix__x,0,3351445,0,0,0,0,1473584,1082632
benefice_ou_perte_total_des_produits__total_des_charges,0,-682402,0,0,0,0,-288888,-239988
subventions_dexploitation,0,11333,0,0,0,0,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,0,0,0
produits_financiers_de_participations,0,0,0,0,0,0,0,0
dotations_financieres_sur_amortissements_et_provisions,0,1,0,0,0,0,0,0
