Libellé,2023,2022,2021,2020,2019,2018,2017,2016
constructions,0,0,0,0,22500,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,18894,0,0,0
autres_titres_immobilises,0,0,0,0,150,0,0,0
autres_immobilisations_financieres,0,0,0,0,12759,0,0,0
total_i__immobilisations,0,0,0,0,54303,0,0,0
marchandises,0,0,0,0,204800,0,0,0
clients_et_comptes_rattaches,0,0,0,0,675,0,0,0
autres_creances,0,0,0,0,33759,0,0,0
disponibilites,0,0,0,0,187605,0,0,0
charges_constatees_davance,0,0,0,0,1667,0,0,0
total_ii__actif_circulant,0,0,0,0,428507,0,0,0
total_general__actif,0,0,0,0,482810,0,0,0
capital_social_ou_individuel,0,0,0,0,20000,0,0,0
reserve_legale,0,0,0,0,2000,0,0,0
autres_reserves,0,0,0,0,229830,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,57800,0,0,0
total_i__capital_social,0,0,0,0,309631,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,29077,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,48677,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,8310,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,39061,0,0,0
dettes_fiscales_et_sociales,0,0,0,0,48055,0,0,0
total_iv__dettes,0,0,0,0,173179,0,0,0
total_general__passif,0,0,0,0,482810,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,146357,0,0,0
