Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,342964,248649,223624,218302,247300,315809,0
production_vendue_services,0,8584,17235,104163,0,-1,38036,0
chiffres_daffaires_nets,0,351548,265884,327786,218302,247299,353844,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,33335,39293,38485,741,8001,461,0
autres_produits,0,0,0,1,0,3,0,0
total_des_produits_dexploitation_i,0,384883,305177,366272,219043,255302,354305,0
achats_de_marchandises_y_compris_droits_de_douane,0,39508,9321,26568,15301,28184,106951,0
variation_de_stock_marchandises,0,-50239,35181,274970,-6838,-24972,-51980,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,186956,83689,29750,76942,60290,116267,0
autres_achats_et_charges_externes,0,131084,143174,57436,76127,76440,182017,0
impots_taxes_et_versements_assimiles,0,2938,2997,2211,1912,2278,2542,0
salaires_et_traitements,0,0,0,-3126,41,41,76334,0
charges_sociales,0,0,0,1567,508,403,35541,0
dot_dexploit__dotations_aux_provisions,0,0,0,58501,58500,0,0,0
autres_charges,0,0,1389,1857,1157,3970,3967,0
total_des_charges_dexploitation_ii,0,310247,275751,449735,315238,170053,499915,0
_resultat_dexploitation_i__ii,0,74636,29426,-83462,-96194,85249,-145610,0
autres_interets_et_produits_assimiles,0,2283,1153,112,6,234,36,0
total_des_produits_financiers_v,0,2283,1153,112,6,234,68,0
interets_et_charges_assimilees,0,9883,9411,10047,13822,14706,14529,0
total_des_charges_financieres_vi,0,9883,9411,10047,13822,14706,14596,0
_resultat_financier_v__vi,0,-7600,-8258,-9935,-13816,-14472,-14528,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,67036,21168,-93397,-110010,70777,-160138,0
produits_exceptionnels_sur_operations_de_gestion,0,0,7,129,2,10414,608,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,62,279569,10,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,628,587,535,1111,0
total_des_produits_exceptionnels_vii,0,0,7,818,280158,10959,1719,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,5664,9130,3057,19876,836,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,404000,628,587,535,0
total_des_charges_exceptionnelles_viii,0,0,5664,413130,3685,20463,1371,0
_resultat_exceptionnel_vii__viii,0,0,-5656,-412312,276473,-9504,348,0
impots_sur_les_benefices,0,0,0,-28927,0,0,0,0
total_des_produits_i__iii__v__vii,0,387166,306337,367203,499207,266495,356093,0
total_des_charges_ii__iv__vi__viii__ix__x,0,320130,290826,843984,332744,205222,515883,0
benefice_ou_perte_total_des_produits__total_des_charges,0,67036,15511,-476782,166463,61272,-159790,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,1249,6492,6492,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,90338,16928,21784,0
differences_positives_de_change,0,0,0,0,0,0,32,0
charges_nettes_sur_cessions_de_valeurs_mobilieres_de_placement,0,0,0,0,0,0,66,0
differences_negatives_de_change,0,0,0,0,0,0,0,0
