Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,0,0,0,0,140000,0,0
autres_immobilisations_incorporelles,0,0,0,0,0,2930,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,2613,0,0
autres_immobilisations_corporelles,0,0,0,0,0,918,0,0
autres_participations,0,0,0,0,0,50,0,0
autres_immobilisations_financieres,0,0,0,0,0,7406,0,0
total_i__immobilisations,0,0,0,0,0,153919,0,0
matieres_premieres_approvisionnements,0,0,0,0,0,60957,0,0
en_cours_de_production_de_biens,0,0,0,0,0,8619,0,0
produits_intermediaires_et_finis,0,0,0,0,0,64647,0,0
clients_et_comptes_rattaches,0,0,0,0,0,42310,0,0
autres_creances,0,0,0,0,0,26574,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,8296,8316,8335
disponibilites,0,0,0,0,0,2393,5746,6742
charges_constatees_davance,0,0,0,0,0,5645,5783,15988
total_ii__actif_circulant,0,0,0,0,0,219444,0,0
total_general__actif,0,0,0,0,0,373363,0,0
capital_social_ou_individuel,0,0,0,0,0,48600,48600,48600
reserve_legale,0,0,0,0,0,4860,4860,4860
report_a_nouveau,0,0,0,0,0,31812,-32087,21995
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,10254,0,0
total_i__capital_social,0,0,0,0,0,95526,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,91593,0,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,43080,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,382,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,74771,0,0
dettes_fiscales_et_sociales,0,0,0,0,0,52217,0,0
autres_dettes,0,0,0,0,0,15791,95768,119211
total_iv__dettes,0,0,0,0,0,277836,0,0
total_general__passif,0,0,0,0,0,373363,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,171548,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,1725,0,0
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,0,140000,140000
immobilisations_incorporelles__autres,0,0,0,0,0,0,4929,6949
immobilisations_corporelles,0,0,0,0,0,0,2800,3687
immobilisations_financieres,0,0,0,0,0,0,7456,7906
total_actif_immobilise,0,0,0,0,0,0,155186,158543
matieres_premieres_approvisionnements_en_cours_de_production,0,0,0,0,0,0,154668,159705
creances__clients_et_comptes_rattaches,0,0,0,0,0,0,59388,36787
creances__autres,0,0,0,0,0,0,18178,9692
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,252080,237251
total_general_actif,0,0,0,0,0,0,407267,395795
resultat_de_lexercice,0,0,0,0,0,0,63899,-54082
total_des_capitaux_propres__total_i,0,0,0,0,0,0,85272,21372
emprunts_et_dettes_assimilees,0,0,0,0,0,0,146390,157957
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,79834,97253
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
total_des_dettes,0,0,0,0,0,0,321994,374422
total_general_passif,0,0,0,0,0,0,407267,395795
