Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,0,0,0,0,0,485602,0,0
production_vendue_services,0,0,0,0,0,2084,0,0
chiffres_daffaires_nets,0,0,0,0,0,487687,0,0
production_stockee,0,0,0,0,0,7849,-17079,32905
autres_produits,0,0,0,0,0,412,92,26
total_des_produits_dexploitation_i,0,0,0,0,0,495949,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,52692,78580,77140
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,28292,0,0
autres_achats_et_charges_externes,0,0,0,0,0,202848,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,3257,3527,9487
salaires_et_traitements,0,0,0,0,0,155175,0,0
charges_sociales,0,0,0,0,0,47053,45409,50040
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,2949,0,0
autres_charges,0,0,0,0,0,1521,417,3502
total_des_charges_dexploitation_ii,0,0,0,0,0,493791,0,0
_resultat_dexploitation_i__ii,0,0,0,0,0,2158,0,0
interets_et_charges_assimilees,0,0,0,0,0,4071,0,0
differences_negatives_de_change,0,0,0,0,0,-130,0,0
total_des_charges_financieres_vi,0,0,0,0,0,3941,0,0
_resultat_financier_v__vi,0,0,0,0,0,-3940,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,-1782,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,16668,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,16668,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,4280,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,4280,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,12388,0,0
impots_sur_les_benefices,0,0,0,0,0,352,966,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,512619,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,502364,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,10254,0,0
production_vendue_de_biens__export,0,0,0,0,0,0,140041,89591
production_vendue_de_services__export,0,0,0,0,0,0,919,350
production_vendue_de_biens__france,0,0,0,0,0,0,590251,494826
production_vendue_de_services__france,0,0,0,0,0,0,2727,1937
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,575992,529696
variation_de_stock_matieres_premieres_et_approvisionnement,0,0,0,0,0,0,-12041,-3501
dont_credit_bail_mobilier,0,0,0,0,0,0,3306,4280
autres_charges_externes,0,0,0,0,0,0,246699,277094
dont_taxe_professionnelle,0,0,0,0,0,0,1430,932
remunerations_du_personnel,0,0,0,0,0,0,139494,152388
dotations_aux_amortissements,0,0,0,0,0,0,2907,2173
total_des_charges_dexploitation,0,0,0,0,0,0,504993,568326
resultat_dexploitation,0,0,0,0,0,0,70999,-38630
produits_financiers,0,0,0,0,0,0,10,13
produits_exceptionnels,0,0,0,0,0,0,3301,2876
charges_financieres,0,0,0,0,0,0,4850,3787
charges_exceptionnelles,0,0,0,0,0,0,4595,14555
benefice_ou_perte,0,0,0,0,0,0,63899,-54082
