Libellé,2023,2022,2021,2020,2019,2018,2017,2016
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,245324,7156,45584,75259,0,173456,0,0
autres_immobilisations_financieres,9072,8400,0,0,0,0,0,0
total_i__immobilisations,254397,15556,45584,75259,0,173456,0,0
marchandises,932541,1272298,2182309,2417079,0,1971064,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,0
clients_et_comptes_rattaches,482516,725498,863994,1758142,0,720917,0,0
autres_creances,2048336,91838,520412,1548181,0,147195,0,0
disponibilites,335296,2392885,15334,272926,0,37930,0,0
charges_constatees_davance,5907,4072,0,13924,0,3242,0,0
total_ii__actif_circulant,3804598,4486591,3582050,6010252,0,2880348,0,0
total_general__actif,4058995,4502146,3627635,6085511,0,3053804,0,0
capital_social_ou_individuel,3502870,3502870,3502870,30000,0,30000,0,0
reserve_legale,3000,3000,3000,3000,0,3000,0,0
report_a_nouveau,-979579,-1065625,-634126,-2,0,-488264,0,0
resultat_de_lexercice_benefice_ou_perte,70205,86046,-431499,-634124,0,-172937,0,0
total_i__capital_social,3044886,2974681,2888635,-152736,0,-628201,0,0
emprunts_et_dettes_financieres_divers,0,0,0,3472872,0,2858619,0,0
dettes_fournisseurs_et_comptes_rattaches,457938,765603,109518,1227953,0,632027,0,0
dettes_fiscales_et_sociales,376208,341458,391348,344939,0,191359,0,0
total_iv__dettes,1014109,1527465,739000,6238248,0,3682006,0,0
total_general__passif,4058995,4502146,3627635,6085511,0,3053804,0,0
primes_demission_de_fusion_dapport,448390,448390,448390,448390,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,30747,0,0,0,0,0,0,0
autres_dettes,149215,420404,238133,1192483,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,983362,1527466,0,0,0,0,0,0
