Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_corporelles,0,0,0,0,1149,0,0,0
autres_immobilisations_financieres,0,0,0,0,250,250,250,250
total_i__immobilisations,0,0,0,0,1399,250,250,250
matieres_premieres_approvisionnements,0,0,0,0,500,500,500,500
clients_et_comptes_rattaches,0,0,0,0,25472,23485,26170,35594
autres_creances,0,0,0,0,334,9656,0,53
disponibilites,0,0,0,0,7204,0,3087,0
total_ii__actif_circulant,0,0,0,0,33511,33641,29757,36147
total_general__actif,0,0,0,0,34910,33891,30007,36397
capital_social_ou_individuel,0,0,0,0,100,100,100,100
reserve_legale,0,0,0,0,10,10,10,10
autres_reserves,0,0,0,0,12848,9321,9090,8877
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,1377,3527,231,213
total_i__capital_social,0,0,0,0,14335,12958,9431,9200
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,12970,2247,4722,12994
emprunts_et_dettes_financieres_divers,0,0,0,0,0,10280,6368,812
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,6,0,406,584
dettes_fiscales_et_sociales,0,0,0,0,7598,8406,9079,12807
total_iv__dettes,0,0,0,0,20574,20933,20576,27197
total_general__passif,0,0,0,0,34910,33891,30007,36397
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,7604,20561,15853,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,1875,0,0
reserves_reglementees,0,0,0,0,0,1,0,0
report_a_nouveau,0,0,0,0,0,0,0,0
emprunts_participatifs,0,0,0,0,0,0,0,812
