Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,93997,83446,74709,78939
chiffres_daffaires_nets,0,0,0,0,93997,83446,74709,78939
autres_produits,0,0,0,0,4,0,12,0
total_des_produits_dexploitation_i,0,0,0,0,94001,83446,75320,78939
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,272,202,462,201
autres_achats_et_charges_externes,0,0,0,0,46953,44095,44595,43940
impots_taxes_et_versements_assimiles,0,0,0,0,598,590,746,578
salaires_et_traitements,0,0,0,0,44098,33793,28647,33471
charges_sociales,0,0,0,0,4,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,153,0,0,0
autres_charges,0,0,0,0,1,4,72,0
total_des_charges_dexploitation_ii,0,0,0,0,92080,78684,74521,78190
_resultat_dexploitation_i__ii,0,0,0,0,1921,4763,799,748
interets_et_charges_assimilees,0,0,0,0,102,123,315,503
total_des_charges_financieres_vi,0,0,0,0,102,123,315,503
_resultat_financier_v__vi,0,0,0,0,-102,-123,-315,-503
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,1819,4639,484,246
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,169,416,180,0
total_des_charges_exceptionnelles_viii,0,0,0,0,169,416,180,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-169,-416,-180,0
impots_sur_les_benefices,0,0,0,0,273,696,73,33
total_des_produits_i__iii__v__vii,0,0,0,0,94001,83446,75320,78939
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,92624,79919,75089,78726
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,1377,3527,231,213
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,600,0
