Libellé,2023,2022,2021,2020,2019,2018,2017,2016
disponibilites,4086,678,408,6131,5149,5125,0,0
total_actif_circulant__charges_constatees_davance,4086,678,4695,6131,5149,5125,0,0
total_general_actif,14273,15175,23502,6131,5149,5125,0,0
capital_social_ou_individuel,4000,4000,4000,4000,4000,4000,0,0
reserve_legale,71,57,57,57,55,53,0,0
autres_reserves,1359,1086,1086,1086,1054,0,0,0
resultat_de_lexercice,640,667,-380,0,34,51,0,0
total_des_capitaux_propres__total_i,6070,5430,4763,5143,5143,5109,0,0
emprunts_et_dettes_assimilees,8203,9745,0,988,6,16,0,0
total_des_dettes,8203,9745,18739,988,6,16,0,0
total_general_passif,14273,15175,23502,6131,5149,5125,0,0
immobilisations_incorporelles__autres,10187,0,0,0,0,0,0,0
total_actif_immobilise,10187,14497,18807,0,0,0,0,0
immobilisations_corporelles,0,14497,18807,0,0,0,0,0
report_a_nouveau,0,-380,0,0,0,0,0,0
reserves_reglementees,0,0,0,0,0,1005,0,0
creances__autres,0,0,4287,0,0,0,0,0
fournisseurs_et_comptes_rattaches,0,0,18739,0,0,0,0,0
