Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,2435,4353,14765,0,0
total_des_produits_dexploitation_hors_tva,46900,29018,9708,6865,4353,14765,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,2316,2000,9241,0,0
autres_charges_externes,16900,13774,6242,2631,80,1069,0,0
impots_taxes_et_versements_assimiles,0,0,0,615,607,825,0,0
charges_sociales,5737,1349,1145,1303,1626,2800,0,0
total_des_charges_dexploitation,46147,28233,10088,6865,4313,14705,0,0
resultat_dexploitation,753,785,-380,0,40,60,0,0
benefice_ou_perte,640,667,-380,0,40,60,0,0
production_vendue_de_services__france,46900,29018,2545,0,0,0,0,0
remunerations_du_personnel,19200,8800,0,0,0,770,0,0
dotations_aux_amortissements,4310,4310,2701,0,0,0,0,0
impots_sur_les_benefices,113,118,0,0,0,0,0,0
subventions_dexploitation_recues,0,0,7163,4430,0,0,0,0
ventes_de_marchandises__export,0,0,0,0,0,9886,0,0
montant_de_la_tva_collectee,0,0,254,0,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,240,0,0,0,0,0
