Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,0,1865160,890491
production_vendue_de_services__france,0,0,0,0,0,0,2053,1300
autres_produits,0,0,0,0,0,0,-9195,1249
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,1858018,893040
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,1637533,800921
autres_charges_externes,0,0,0,0,0,0,76311,59955
dont_taxe_professionnelle,0,0,0,0,0,0,710,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,1066,627
remunerations_du_personnel,0,0,0,0,0,0,28970,14792
charges_sociales,0,0,0,0,0,0,13315,6753
autres_charges,0,0,0,0,0,0,1,312
total_des_charges_dexploitation,0,0,0,0,0,0,1757197,883360
resultat_dexploitation,0,0,0,0,0,0,100822,9680
charges_financieres,0,0,0,0,0,0,1825,209
charges_exceptionnelles,0,0,0,0,0,0,16602,0
impots_sur_les_benefices,0,0,0,0,0,0,18509,1421
benefice_ou_perte,0,0,0,0,0,0,63886,8050
ventes_de_marchandises__export,0,0,0,0,0,0,0,6
