Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,0,0,0,0,0,0,545,0
immobilisations_corporelles,0,0,0,0,0,1442,954,0
total_actif_immobilise,0,0,0,0,0,1442,1499,0
stock_marchandises,0,0,0,0,0,75929,76426,0
creances__clients_et_comptes_rattaches,0,0,0,0,0,15344,21142,0
creances__autres,0,0,0,0,0,16607,11139,0
disponibilites,0,0,0,0,0,28918,10345,0
charges_constatees_davance,0,0,0,0,0,16602,14307,0
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,153401,133359,0
total_general_actif,0,0,0,0,0,154843,134858,0
capital_social_ou_individuel,0,0,0,0,0,63000,63000,0
reserve_legale,0,0,0,0,0,4623,3561,0
report_a_nouveau,0,0,0,0,0,43870,30004,0
resultat_de_lexercice,0,0,0,0,0,26780,21227,0
total_des_capitaux_propres__total_i,0,0,0,0,0,138273,117793,0
fournisseurs_et_comptes_rattaches,0,0,0,0,0,3729,10336,0
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,12840,6729,0
total_des_dettes,0,0,0,0,0,16570,17065,0
total_general_passif,0,0,0,0,0,154843,134858,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
