Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,178801,163605,0,0,52449,51782,42646,0
production_vendue_de_services__france,57,293,0,0,207,526,495,0
autres_produits,10,1,0,0,0,45,0,0
total_des_produits_dexploitation_hors_tva,178868,163899,0,0,52656,52353,43141,0
achats_de_marchandises_y_compris_droits_de_douane,116654,84012,0,0,16223,14416,11982,0
variation_de_stock_marchandises,-20840,-9942,0,0,-840,-540,4800,0
autres_charges_externes,38956,37115,0,0,29786,32994,30013,0
dont_taxe_professionnelle,-546,522,0,0,0,483,462,0
impots_taxes_et_versements_assimiles,4238,2903,0,0,1909,791,874,0
remunerations_du_personnel,26284,22136,0,0,10579,16903,16521,0
charges_sociales,2502,481,0,0,1198,2003,2004,0
total_des_charges_dexploitation,167794,136806,0,0,59039,66745,66680,0
resultat_dexploitation,11074,27093,0,0,-6383,-14392,-23539,0
benefice_ou_perte,11074,27075,0,0,-6427,-14392,-23539,0
effectif_moyen_du_personnel,1,1,0,0,0,0,0,0
dotations_aux_amortissements,0,85,0,0,179,179,486,0
dont_provisions_fiscales_pour_implantations_commerciales_a_letranger,0,11,0,0,0,9,0,0
autres_charges,0,11,0,0,0,9,0,0
charges_financieres,0,18,0,0,144,0,0,0
produits_exceptionnels,0,0,0,0,100,0,0,0
