Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,3441,10459,11511
chiffres_daffaires_nets,0,0,0,0,0,3441,10459,11511
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,2090,2664,4688
autres_produits,0,0,0,0,0,1,0,1
total_des_produits_dexploitation_i,0,0,0,0,0,5532,13123,16200
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,63,180
variation_de_stock_marchandises,0,0,0,0,0,2543,5447,11336
autres_achats_et_charges_externes,0,0,0,0,0,8475,21685,7292
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,10
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,1768,1800,2449
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,31324
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,0,0,1000
total_des_charges_dexploitation_ii,0,0,0,0,0,13787,28995,53591
_resultat_dexploitation_i__ii,0,0,0,0,0,-8255,-15872,-37391
interets_et_charges_assimilees,0,0,0,0,0,0,1428,0
total_des_charges_financieres_vi,0,0,0,0,0,0,1428,0
_resultat_financier_v__vi,0,0,0,0,0,0,-1428,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,-8255,-17301,-37391
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,4080,18633,26444
total_des_produits_exceptionnels_vii,0,0,0,0,0,4080,18633,26444
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,3136
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,3136
_resultat_exceptionnel_vii__viii,0,0,0,0,0,4080,18633,23309
total_des_produits_i__iii__v__vii,0,0,0,0,0,9612,31756,42645
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,13787,30424,56727
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,-4174,1332,-14083
autres_charges,0,0,0,0,0,1002,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,0
production_vendue_services,0,0,0,0,0,0,0,0
salaires_et_traitements,0,0,0,0,0,0,0,0
charges_sociales,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,0
impots_sur_les_benefices,0,0,0,0,0,0,0,0
