Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__export,0,0,0,0,0,0,904205,756026
ventes_de_marchandises__france,0,0,0,0,0,0,1876457,1338904
production_vendue_de_services__france,0,0,0,0,0,0,3281,338
autres_produits,0,0,0,0,0,0,4356,919
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,1884094,1340161
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,1386288,948249
variation_de_stock_marchandises,0,0,0,0,0,0,-91685,6727
autres_charges_externes,0,0,0,0,0,0,319002,250688
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,9384,10275
remunerations_du_personnel,0,0,0,0,0,0,109945,99973
charges_sociales,0,0,0,0,0,0,21108,19080
dotations_aux_amortissements,0,0,0,0,0,0,5429,4992
autres_charges,0,0,0,0,0,0,1020,690
total_des_charges_dexploitation,0,0,0,0,0,0,1768773,1340674
resultat_dexploitation,0,0,0,0,0,0,115321,-513
produits_financiers,0,0,0,0,0,0,4360,9
charges_financieres,0,0,0,0,0,0,284,654
benefice_ou_perte,0,0,0,0,0,0,106768,-1158
montant_de_la_tva_collectee,0,0,0,0,0,0,186998,114930
montant_de_la_tva_deductible_sur_biens_et_services,0,0,0,0,0,0,63535,57798
effectif_moyen_du_personnel,0,0,0,0,0,0,6,5
dont_taxe_professionnelle,0,0,0,0,0,0,1829,0
dotations_aux_provisions,0,0,0,0,0,0,8282,0
charges_exceptionnelles,0,0,0,0,0,0,7113,0
impots_sur_les_benefices,0,0,0,0,0,0,5515,0
