Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,1744,3811,0,0,0,0
fonds_commercial,0,0,265000,265000,0,0,0,0
autres_participations,0,0,510000,10000,0,0,0,0
total_i__immobilisations,0,0,776744,278811,0,0,0,0
marchandises,0,0,302880,302109,0,0,0,0
clients_et_comptes_rattaches,0,0,148213,102655,0,0,0,0
autres_creances,0,0,47511,32582,0,0,0,0
disponibilites,0,0,141255,504840,0,0,0,0
charges_constatees_davance,0,0,2522,3585,0,0,0,0
total_ii__actif_circulant,0,0,642381,945773,0,0,0,0
total_general__actif,0,0,1419125,1224584,0,0,0,0
capital_social_ou_individuel,0,0,100000,100000,0,0,0,0
reserve_legale,0,0,10000,10000,0,0,0,0
autres_reserves,0,0,1012500,884500,0,0,0,0
report_a_nouveau,0,0,489,582,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,0,160473,127907,0,0,0,0
total_i__capital_social,0,0,1283461,1122989,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,65,50,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,22774,22774,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,0,43495,18750,0,0,0,0
dettes_fiscales_et_sociales,0,0,54382,42239,0,0,0,0
autres_dettes,0,0,14948,17783,0,0,0,0
total_iv__dettes,0,0,135663,101595,0,0,0,0
total_general__passif,0,0,1419125,1224584,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,135663,101595,0,0,0,0
