Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__autres,0,0,0,0,0,0,0,0
immobilisations_corporelles,0,0,0,0,0,0,0,41949
immobilisations_financieres,0,0,0,0,0,0,0,237
total_actif_immobilise,0,0,0,0,0,0,0,42186
stock_marchandises,0,0,0,0,0,0,0,55719
creances__autres,0,0,0,0,0,0,0,1658
valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,470
disponibilites,0,0,0,0,0,0,0,25804
charges_constatees_davance,0,0,0,0,0,0,0,28110
total_actif_circulant__charges_constatees_davance,0,0,0,0,0,0,0,111762
total_general_actif,0,0,0,0,0,0,0,153948
capital_social_ou_individuel,0,0,0,0,0,0,0,10000
reserve_legale,0,0,0,0,0,0,0,1000
autres_reserves,0,0,0,0,0,0,0,40928
report_a_nouveau,0,0,0,0,0,0,0,18247
resultat_de_lexercice,0,0,0,0,0,0,0,17694
total_des_capitaux_propres__total_i,0,0,0,0,0,0,0,87870
emprunts_et_dettes_assimilees,0,0,0,0,0,0,0,9993
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,730
fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,45223
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,0,0,0,0,0,0,0,10130
total_des_dettes,0,0,0,0,0,0,0,66077
total_general_passif,0,0,0,0,0,0,0,153948
